study_id,site_id,core_id,core_count,habitat,management,accumulation_type,depth_min_cm,depth_max_cm,marker_rate,marker_rate_se,marker_rate_unit,SET_rate,SET_rate_unit,latitude,longitude,country,admin_division,climate_zone,inventory_year,ecosystem,horizon_min,horizon_max,pb210_CAR,pb210_CAR_unit,cs137_CAR,cs137_CAR_unit,PublicationID,First_Author,Year,Publication_Type,Source,CCAP_Class,salinity_class,Stature,Activity,Activity_Time,DOC,Salinity_in_Water,Unit_Source,CalculationMethod
Boyd_2012,Lukens_Marsh,NCLM1,1,marsh,natural,sediment accretion,NA,NA,NA,NA,NA,NA,NA,39.687158,-75.544244,United States,Delaware,Warm Temperate,nggi_2022,Estuarine Emergent Wetland,0,50,175.6427636526798,gramsPerSquareMeterPerYear,351.2855273053596,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Lukens_Marsh,NCLM2,1,marsh,natural,sediment accretion,NA,NA,NA,NA,NA,NA,NA,39.686761,-75.542156,United States,Delaware,Warm Temperate,nggi_2022,Estuarine Emergent Wetland,0,70,251.08070487423788,gramsPerSquareMeterPerYear,378.9897432063968,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Lukens_Marsh,NCLM3,1,marsh,natural,sediment accretion,NA,NA,NA,NA,NA,NA,NA,39.686297,-75.540714,United States,Delaware,Warm Temperate,nggi_2022,Estuarine Emergent Wetland,0,50,247.7874612266298,gramsPerSquareMeterPerYear,364.0958613942315,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Pickering_Beach_Marsh,PK1,1,marsh,natural,sediment accretion,NA,NA,NA,NA,NA,NA,NA,39.136889,-75.416706,United States,Delaware,Warm Temperate,nggi_2022,Estuarine Emergent Wetland,0,58,172.20947456334318,gramsPerSquareMeterPerYear,221.41218158144127,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Pickering_Beach_Marsh,PK2,1,marsh,natural,sediment accretion,NA,NA,NA,NA,NA,NA,NA,39.137907,-75.412275,United States,Delaware,Warm Temperate,nggi_2022,Estuarine Emergent Wetland,0,62,420.1484752467392,gramsPerSquareMeterPerYear,450.46846830578227,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Pickering_Beach_Marsh,PK3,1,marsh,natural,sediment accretion,NA,NA,NA,NA,NA,NA,NA,39.133195,-75.41131,United States,Delaware,Warm Temperate,nggi_2022,Estuarine Emergent Wetland,0,62,165.97261888172417,gramsPerSquareMeterPerYear,255.87445410932472,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Port_Mahon_Marsh,MH1,1,marsh,impounded,sediment accretion,NA,NA,NA,NA,NA,NA,NA,39.172129,-75.415222,United States,Delaware,Warm Temperate,nggi_2022,Estuarine Emergent Wetland,0,42,130.6058885479216,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Port_Mahon_Marsh,MH2,1,marsh,impounded,sediment accretion,NA,NA,NA,NA,NA,NA,NA,39.162247,-75.420234,United States,Delaware,Warm Temperate,nggi_2022,Estuarine Emergent Wetland,0,42,87.88884743688891,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Port_Mahon_Marsh,MH3,1,marsh,impounded,sediment accretion,NA,NA,NA,NA,NA,NA,NA,39.162596,-75.427651,United States,Delaware,Warm Temperate,nggi_2022,Estuarine Emergent Wetland,0,42,57.8576175555666,gramsPerSquareMeterPerYear,35.35743295062403,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Rivers_Edge_Marsh,NCRE1,1,marsh,natural,sediment accretion,NA,NA,NA,NA,NA,NA,NA,39.639179,-75.604275,United States,Delaware,Warm Temperate,nggi_2022,Estuarine Emergent Wetland,0,94,307.90878656119133,gramsPerSquareMeterPerYear,451.31835838421193,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
