territory,habitat,mid,lowerCI,upperCI,variable
Mayotte,mangrove,192614.9962414685,160643.48704339744,224586.50543953956,Total Stock (MgC)
Mayotte,marsh,0,NA,NA,Total Stock (MgC)
Mayotte,seagrass,13772808,NA,NA,Total Stock (MgC)
Ecuador,mangrove,51687255.66746046,38681026.57353306,64693484.761387855,Total Stock (MgC)
Ecuador,marsh,27242.175062731934,19887.448253160153,34596.901872303715,Total Stock (MgC)
Ecuador,seagrass,NA,NA,NA,Total Stock (MgC)
Qatar,mangrove,148271.87645352422,123660.73114110893,172883.0217659395,Total Stock (MgC)
Qatar,marsh,18365.682819775393,13407.393714751626,23323.97192479916,Total Stock (MgC)
Qatar,seagrass,4743175.129702196,NA,NA,Total Stock (MgC)
China,mangrove,0,NA,NA,Total Stock (MgC)
China,marsh,12586559.42651385,8941850.59433389,16231268.25869381,Total Stock (MgC)
China,seagrass,987703.2,NA,NA,Total Stock (MgC)
Gabon,mangrove,53146358.322258376,44324774.76386332,61967941.88065343,Total Stock (MgC)
Gabon,marsh,992842.5198426269,724799.1098889618,1260885.929796292,Total Stock (MgC)
Gabon,seagrass,NA,NA,NA,Total Stock (MgC)
Benin,mangrove,1992511.9471900372,1661781.654689905,2323242.2396901697,Total Stock (MgC)
Benin,marsh,1360049.1545514953,992868.8557581212,1727229.4533448694,Total Stock (MgC)
Benin,seagrass,14730876,NA,NA,Total Stock (MgC)
Sri Lanka,mangrove,8379243.184230966,6988401.059967338,9770085.308494592,Total Stock (MgC)
Sri Lanka,marsh,167713.7398183533,122435.09610744652,212992.38352926006,Total Stock (MgC)
Sri Lanka,seagrass,15163848,NA,NA,Total Stock (MgC)
Denmark,mangrove,0,NA,NA,Total Stock (MgC)
Denmark,marsh,7484827.397110377,5464105.461516716,9505549.33270404,Total Stock (MgC)
Denmark,seagrass,14526000,NA,NA,Total Stock (MgC)
France,mangrove,0,NA,NA,Total Stock (MgC)
France,marsh,18682156.653988708,13638427.286296602,23725886.021680813,Total Stock (MgC)
France,seagrass,11220876,NA,NA,Total Stock (MgC)
Cameroon,mangrove,91727287.05113395,NA,NA,Total Stock (MgC)
Cameroon,marsh,0,NA,NA,Total Stock (MgC)
Cameroon,seagrass,NA,NA,NA,Total Stock (MgC)
Vietnam,mangrove,58965317.057227515,50195087.16549398,67735546.94896105,Total Stock (MgC)
Vietnam,marsh,345148.3222850464,251966.64301960284,438330.0015504899,Total Stock (MgC)
Vietnam,seagrass,1700460,NA,NA,Total Stock (MgC)
Maldives,mangrove,33146.768815840944,27644.849210612214,38648.68842106967,Total Stock (MgC)
Maldives,marsh,0,NA,NA,Total Stock (MgC)
Maldives,seagrass,25693092,NA,NA,Total Stock (MgC)
Egypt,mangrove,67213.03354983451,56056.57033408957,78369.49676557945,Total Stock (MgC)
Egypt,marsh,4837949.916037934,3531820.72962335,6144079.102452518,Total Stock (MgC)
Egypt,seagrass,23788296,NA,NA,Total Stock (MgC)
Argentina,mangrove,0,NA,NA,Total Stock (MgC)
Argentina,marsh,65747197.34104182,47997048.02936368,83497346.65271996,Total Stock (MgC)
Argentina,seagrass,10800,NA,NA,Total Stock (MgC)
Colombia,mangrove,82115565.28235994,68485481.42617597,95745649.13854392,Total Stock (MgC)
Colombia,marsh,1242865.0336869939,907321.6065234954,1578408.4608504924,Total Stock (MgC)
Colombia,seagrass,4682016,NA,NA,Total Stock (MgC)
Thailand,mangrove,56255827.059737995,47308537.099405706,65203117.020070285,Total Stock (MgC)
Thailand,marsh,490783.70906964125,358284.006146376,623283.4119929065,Total Stock (MgC)
Thailand,seagrass,2761884,NA,NA,Total Stock (MgC)
Iran,mangrove,27214.19461566095,23053.980964329523,31374.408266992374,Total Stock (MgC)
Iran,marsh,331778.0120405762,242205.99239228352,421350.0316888689,Total Stock (MgC)
Iran,seagrass,29314872,NA,NA,Total Stock (MgC)
Ghana,mangrove,7682977.592271392,6260187.285597162,9105767.898945622,Total Stock (MgC)
Ghana,marsh,471384.1817650024,344121.8808932214,598646.4826367834,Total Stock (MgC)
Ghana,seagrass,29511972,NA,NA,Total Stock (MgC)
Senegal,mangrove,33782911.555064365,28121618.84240208,39444204.26772665,Total Stock (MgC)
Senegal,marsh,1412975.1669672672,1031506.1279561373,1794444.205978397,Total Stock (MgC)
Senegal,seagrass,16100424,NA,NA,Total Stock (MgC)
Tonga,mangrove,305800.53532257245,255041.74281617778,356559.3278289671,Total Stock (MgC)
Tonga,marsh,2746.5085905761716,2005.0178572806612,3487.999323871682,Total Stock (MgC)
Tonga,seagrass,32308416,NA,NA,Total Stock (MgC)
Spain,mangrove,0,NA,NA,Total Stock (MgC)
Spain,marsh,2664450.2106902595,NA,NA,Total Stock (MgC)
Spain,seagrass,44663853.19319835,NA,NA,Total Stock (MgC)
Bahamas,mangrove,31181450.32507638,26005747.26285164,36357153.38730112,Total Stock (MgC)
Bahamas,marsh,3330477.208342822,2431329.105944191,4229625.3107414525,Total Stock (MgC)
Bahamas,seagrass,24305508,NA,NA,Total Stock (MgC)
Panama,mangrove,50745683.52234673,43094999.99152798,58396367.05316547,Total Stock (MgC)
Panama,marsh,68633.17744415894,50103.88347213672,87162.47141618116,Total Stock (MgC)
Panama,seagrass,28622718.548526622,NA,NA,Total Stock (MgC)
Philippines,mangrove,18751933.533115566,14569844.47748885,22934022.588742282,Total Stock (MgC)
Philippines,marsh,193962.1775575745,141597.09202234645,246327.26309280255,Total Stock (MgC)
Philippines,seagrass,10562400,NA,NA,Total Stock (MgC)
Honduras,mangrove,26957339.641088035,21090223.4989877,32824455.78318837,Total Stock (MgC)
Honduras,marsh,10834080.280820068,7909141.265674867,13759019.29596527,Total Stock (MgC)
Honduras,seagrass,29582496,NA,NA,Total Stock (MgC)
India,mangrove,73903269.80377658,62269647.87795466,85536891.72959849,Total Stock (MgC)
India,marsh,1430186.4003509646,1044070.7455941616,1816302.0551077677,Total Stock (MgC)
India,seagrass,5579172.000000001,NA,NA,Total Stock (MgC)
Sudan,mangrove,135928.5574287458,113366.23772926825,158490.8771282233,Total Stock (MgC)
Sudan,marsh,0,NA,NA,Total Stock (MgC)
Sudan,seagrass,47786004,NA,NA,Total Stock (MgC)
Bangladesh,mangrove,142973756.40105256,43289831.531602755,242657681.2705024,Total Stock (MgC)
Bangladesh,marsh,5659106.713319679,4131285.099706351,7186928.326933007,Total Stock (MgC)
Bangladesh,seagrass,NA,NA,NA,Total Stock (MgC)
Venezuela,mangrove,129548998.61686353,108045600.22265153,151052397.01107556,Total Stock (MgC)
Venezuela,marsh,3567398.4731205627,2604287.3731343313,4530509.573106794,Total Stock (MgC)
Venezuela,seagrass,13742136,NA,NA,Total Stock (MgC)
Papua New Guinea,mangrove,181933884.61139336,151735296.8648715,212132472.35791522,Total Stock (MgC)
Papua New Guinea,marsh,1509928.4465696716,1102284.3725943472,1917572.520544996,Total Stock (MgC)
Papua New Guinea,seagrass,1265760,NA,NA,Total Stock (MgC)
Tunisia,mangrove,0,NA,NA,Total Stock (MgC)
Tunisia,marsh,1490570.785118427,1088152.8104291633,1892988.7598076905,Total Stock (MgC)
Tunisia,seagrass,54006696,NA,NA,Total Stock (MgC)
Myanmar,mangrove,195176232.38538724,162779592.29651535,227572872.47425914,Total Stock (MgC)
Myanmar,marsh,3380270.6537497556,2467679.5282800216,4292861.77921949,Total Stock (MgC)
Myanmar,seagrass,46008,NA,NA,Total Stock (MgC)
Mozambique,mangrove,46080349.86509269,39581449.282432914,52579250.44775246,Total Stock (MgC)
Mozambique,marsh,35038305.02592185,25578812.135112338,44497797.916731365,Total Stock (MgC)
Mozambique,seagrass,7861859.999999998,NA,NA,Total Stock (MgC)
Yemen,mangrove,414118.37784873793,345380.27445681347,482856.4812406624,Total Stock (MgC)
Yemen,marsh,0,NA,NA,Total Stock (MgC)
Yemen,seagrass,57826008,NA,NA,Total Stock (MgC)
Belize,mangrove,24521132.556501485,20625623.150040437,28416641.962962534,Total Stock (MgC)
Belize,marsh,1745892.170958166,1274543.6120857967,2217240.729830535,Total Stock (MgC)
Belize,seagrass,52356672,NA,NA,Total Stock (MgC)
Malaysia,mangrove,77549562.752475515,NA,NA,Total Stock (MgC)
Malaysia,marsh,105308.01511052245,76877.40411075308,133738.6261102918,Total Stock (MgC)
Malaysia,seagrass,96336,NA,NA,Total Stock (MgC)
Russian Federation,mangrove,0,NA,NA,Total Stock (MgC)
Russian Federation,marsh,160505876.87583134,113217833.66837049,207793920.0832922,Total Stock (MgC)
Russian Federation,seagrass,5315760.000000001,NA,NA,Total Stock (MgC)
Sierra Leone,mangrove,61111108.66324586,50967483.24021846,71254734.08627325,Total Stock (MgC)
Sierra Leone,marsh,500973.9737875307,365723.1464424925,636224.8011325689,Total Stock (MgC)
Sierra Leone,seagrass,48012696,NA,NA,Total Stock (MgC)
Ukraine,mangrove,0,NA,NA,Total Stock (MgC)
Ukraine,marsh,24291554.094677072,17733423.411834005,30849684.77752014,Total Stock (MgC)
Ukraine,seagrass,63305064,NA,NA,Total Stock (MgC)
Nicaragua,mangrove,28309978.99934415,23610901.71233971,33009056.286348592,Total Stock (MgC)
Nicaragua,marsh,15296711.509003935,11166970.25396502,19426452.76404285,Total Stock (MgC)
Nicaragua,seagrass,60108048,NA,NA,Total Stock (MgC)
Madagascar,mangrove,43458628.23174845,35842815.38045568,51074441.08304121,Total Stock (MgC)
Madagascar,marsh,4152787.6687718625,3031635.678094045,5273939.65944968,Total Stock (MgC)
Madagascar,seagrass,62569368,NA,NA,Total Stock (MgC)
Italy,mangrove,0,NA,NA,Total Stock (MgC)
Italy,marsh,6480376.2286237925,4730831.756678408,8229920.700569177,Total Stock (MgC)
Italy,seagrass,232550511.92124704,NA,NA,Total Stock (MgC)
Canada,mangrove,0,NA,NA,Total Stock (MgC)
Canada,marsh,173409946.54438186,122544817.6364531,224275075.45231062,Total Stock (MgC)
Canada,seagrass,6966000,NA,NA,Total Stock (MgC)
Brazil,mangrove,148315808.30387688,125072519.8302098,171559096.77754396,Total Stock (MgC)
Brazil,marsh,12201311.358404439,8830516.972359017,15572105.744449861,Total Stock (MgC)
Brazil,seagrass,3832034.4630022184,NA,NA,Total Stock (MgC)
Guinea,mangrove,94457939.09029126,78779186.51450449,110136691.66607803,Total Stock (MgC)
Guinea,marsh,78796.98421288452,57523.70882391898,100070.25960185006,Total Stock (MgC)
Guinea,seagrass,139327128,NA,NA,Total Stock (MgC)
Nigeria,mangrove,268654220.18357426,224061218.39605016,313247221.97109836,Total Stock (MgC)
Nigeria,marsh,521356.42637269886,380602.8309804045,662110.0217649932,Total Stock (MgC)
Nigeria,seagrass,95870196,NA,NA,Total Stock (MgC)
Mexico,mangrove,168306127.93440878,127683862.37529954,208928393.49351802,Total Stock (MgC)
Mexico,marsh,34699164.99645371,23078016.715608805,46320313.277298614,Total Stock (MgC)
Mexico,seagrass,103435704,NA,NA,Total Stock (MgC)
Guinea-Bissau,mangrove,27167597.032495074,NA,NA,Total Stock (MgC)
Guinea-Bissau,marsh,1707136.4259449644,1246250.9786346178,2168021.873255311,Total Stock (MgC)
Guinea-Bissau,seagrass,166289112,NA,NA,Total Stock (MgC)
Cuba,mangrove,56743086.464016594,NA,NA,Total Stock (MgC)
Cuba,marsh,18160758.714525197,13257794.149753466,23063723.279296927,Total Stock (MgC)
Cuba,seagrass,173588400,NA,NA,Total Stock (MgC)
Indonesia,mangrove,1002525369.1150204,860328678.7052662,1144722059.5247746,Total Stock (MgC)
Indonesia,marsh,4892181.454952532,3571411.067816601,6212951.842088464,Total Stock (MgC)
Indonesia,seagrass,31694112,NA,NA,Total Stock (MgC)
United States,mangrove,58573825.5570695,42858707.98345751,74288943.1306815,Total Stock (MgC)
United States,marsh,646333070.0357659,476500524.7700584,816165615.3014734,Total Stock (MgC)
United States,seagrass,297170932.18063885,NA,NA,Total Stock (MgC)
Australia,mangrove,172847576.71113673,137840151.72423312,207855001.69804034,Total Stock (MgC)
Australia,marsh,34157303.04592366,23008365.28983122,45306240.802016094,Total Stock (MgC)
Australia,seagrass,3786094475.865535,NA,NA,Total Stock (MgC)
Indonesia,total,1007417550.5699729,1150935011.366863,863900089.7730827,"Mangrove+Marsh Stock
(MgC)"
United States,total,704906895.5928354,890454558.4321549,519359232.75351596,"Mangrove+Marsh Stock
(MgC)"
Nigeria,total,269175576.60994697,313909331.99286336,224441821.22703058,"Mangrove+Marsh Stock
(MgC)"
Australia,total,207004879.75706038,253161242.50005642,160848517.01406434,"Mangrove+Marsh Stock
(MgC)"
Mexico,total,203005292.9308625,255248706.77081662,150761879.09090835,"Mangrove+Marsh Stock
(MgC)"
Myanmar,total,198556503.039137,231865734.25347865,165247271.82479537,"Mangrove+Marsh Stock
(MgC)"
Papua New Guinea,total,183443813.05796304,214050044.87846023,152837581.23746586,"Mangrove+Marsh Stock
(MgC)"
Canada,total,173409946.54438186,224275075.45231062,122544817.63645309,"Mangrove+Marsh Stock
(MgC)"
Brazil,total,160517119.6622813,187131202.52199382,133903036.80256881,"Mangrove+Marsh Stock
(MgC)"
Russian Federation,total,160505876.87583134,207793920.0832922,113217833.66837049,"Mangrove+Marsh Stock
(MgC)"
Bangladesh,total,148632863.11437225,249844609.5974354,47421116.63130911,"Mangrove+Marsh Stock
(MgC)"
Venezuela,total,133116397.08998409,155582906.58418232,110649887.59578584,"Mangrove+Marsh Stock
(MgC)"
Guinea,total,94536736.07450415,110236761.92567989,78836710.22332841,"Mangrove+Marsh Stock
(MgC)"
Cameroon,total,91727287.05113395,91727287.05113395,91727287.05113395,"Mangrove+Marsh Stock
(MgC)"
Colombia,total,83358430.31604694,97324057.59939441,69392803.03269947,"Mangrove+Marsh Stock
(MgC)"
Mozambique,total,81118654.89101455,97077048.36448383,65160261.41754526,"Mangrove+Marsh Stock
(MgC)"
Malaysia,total,77654870.76758604,77683301.3785858,77626440.15658627,"Mangrove+Marsh Stock
(MgC)"
India,total,75333456.20412754,87353193.78470625,63313718.62354882,"Mangrove+Marsh Stock
(MgC)"
Cuba,total,74903845.1785418,79806809.74331352,70000880.61377007,"Mangrove+Marsh Stock
(MgC)"
Argentina,total,65747197.34104182,83497346.65271996,47997048.02936368,"Mangrove+Marsh Stock
(MgC)"
Sierra Leone,total,61612082.63703339,71890958.88740583,51333206.386660956,"Mangrove+Marsh Stock
(MgC)"
Vietnam,total,59310465.37951256,68173876.95051154,50447053.80851358,"Mangrove+Marsh Stock
(MgC)"
Thailand,total,56746610.768807635,65826400.43206319,47666821.10555208,"Mangrove+Marsh Stock
(MgC)"
Gabon,total,54139200.842101,63228827.81044972,45049573.87375228,"Mangrove+Marsh Stock
(MgC)"
Ecuador,total,51714497.84252319,64728081.66326016,38700914.02178621,"Mangrove+Marsh Stock
(MgC)"
Panama,total,50814316.69979089,58483529.524581656,43145103.87500012,"Mangrove+Marsh Stock
(MgC)"
Madagascar,total,47611415.90052031,56348380.742490895,38874451.058549725,"Mangrove+Marsh Stock
(MgC)"
Nicaragua,total,43606690.508348085,52435509.05039144,34777871.96630473,"Mangrove+Marsh Stock
(MgC)"
Honduras,total,37791419.9219081,46583475.07915364,28999364.764662568,"Mangrove+Marsh Stock
(MgC)"
Senegal,total,35195886.72203163,41238648.473705046,29153124.970358215,"Mangrove+Marsh Stock
(MgC)"
Bahamas,total,34511927.5334192,40586778.69804257,28437076.36879583,"Mangrove+Marsh Stock
(MgC)"
Fiji,total,34172483.37440968,39844657.85638106,28500308.892438307,"Mangrove+Marsh Stock
(MgC)"
Suriname,total,29892770.652548093,34970430.963288546,24815110.341807645,"Mangrove+Marsh Stock
(MgC)"
Guinea-Bissau,total,28874733.45844004,29335618.905750386,28413848.011129692,"Mangrove+Marsh Stock
(MgC)"
Gambia,total,28114978.92951776,32870934.496703625,23359023.362331897,"Mangrove+Marsh Stock
(MgC)"
Belize,total,26267024.72745965,30633882.692793068,21900166.762126233,"Mangrove+Marsh Stock
(MgC)"
Ukraine,total,24291554.094677072,30849684.77752014,17733423.411834005,"Mangrove+Marsh Stock
(MgC)"
Pakistan,total,19579048.978747096,22834639.61697121,16323458.340522984,"Mangrove+Marsh Stock
(MgC)"
Cambodia,total,19212345.183712352,22126729.049272157,16297961.318152547,"Mangrove+Marsh Stock
(MgC)"
Philippines,total,18945895.71067314,23180349.851835083,14711441.569511194,"Mangrove+Marsh Stock
(MgC)"
France,total,18682156.653988708,23725886.021680813,13638427.286296602,"Mangrove+Marsh Stock
(MgC)"
Solomon Islands,total,17825015.20238827,20783728.95063909,14866301.454137452,"Mangrove+Marsh Stock
(MgC)"
Romania,total,17456759.814450055,22169661.743901048,12743857.884999063,"Mangrove+Marsh Stock
(MgC)"
Guatemala,total,13676927.063461607,15982040.5049721,11371813.621951114,"Mangrove+Marsh Stock
(MgC)"
Chile,total,12636362.045444356,16047873.442646459,9224850.648242254,"Mangrove+Marsh Stock
(MgC)"
China,total,12586559.42651385,16231268.25869381,8941850.59433389,"Mangrove+Marsh Stock
(MgC)"
United Kingdom,total,11662852.164862445,14762421.386589985,8563282.943134904,"Mangrove+Marsh Stock
(MgC)"
Kenya,total,11566772.513042932,13846070.339131232,9287474.686954632,"Mangrove+Marsh Stock
(MgC)"
Democratic Republic of the Congo,total,10960557.774770666,10978044.484987391,10943071.06455394,"Mangrove+Marsh Stock
(MgC)"
Costa Rica,total,10056195.786741924,11763763.481434258,8348628.092049589,"Mangrove+Marsh Stock
(MgC)"
El Salvador,total,9428371.428569868,11464567.814600594,7392175.042539141,"Mangrove+Marsh Stock
(MgC)"
New Caledonia,total,9416316.208830308,10983497.50276932,7849134.914891297,"Mangrove+Marsh Stock
(MgC)"
Guyana,total,8812748.158462413,10374733.888911478,7250762.428013347,"Mangrove+Marsh Stock
(MgC)"
Dominican Republic,total,8671378.189405223,10289659.174334545,7053097.204475902,"Mangrove+Marsh Stock
(MgC)"
Sri Lanka,total,8546956.92404932,9983077.692023853,7110836.156074786,"Mangrove+Marsh Stock
(MgC)"
French Guiana,total,8174532.560160976,10967447.243428228,5381617.876893723,"Mangrove+Marsh Stock
(MgC)"
Ghana,total,8154361.774036394,9704414.381582405,6604309.166490383,"Mangrove+Marsh Stock
(MgC)"
Uruguay,total,7861672.2330633225,9984133.138164725,5739211.32796192,"Mangrove+Marsh Stock
(MgC)"
Tanzania,total,7701223.788793882,8888701.46231152,6513746.115276245,"Mangrove+Marsh Stock
(MgC)"
Estonia,total,7550633.3485587435,9589121.29564863,5512145.401468856,"Mangrove+Marsh Stock
(MgC)"
Denmark,total,7484827.397110377,9505549.33270404,5464105.461516716,"Mangrove+Marsh Stock
(MgC)"
Japan,total,7128583.003070889,9053127.589037787,5204038.417103991,"Mangrove+Marsh Stock
(MgC)"
Turkey,total,6901712.560155263,8765007.626765918,5038417.493544608,"Mangrove+Marsh Stock
(MgC)"
Haiti,total,6650458.670229763,7860999.150892873,5439918.189566652,"Mangrove+Marsh Stock
(MgC)"
Turks and Caicos Islands,total,6612236.163959988,7710930.696070612,5513541.631849364,"Mangrove+Marsh Stock
(MgC)"
Italy,total,6480376.2286237925,8229920.700569177,4730831.756678408,"Mangrove+Marsh Stock
(MgC)"
Greece,total,5882393.642932392,7470497.31418862,4294289.971676163,"Mangrove+Marsh Stock
(MgC)"
South Korea,total,4933498.68710038,6265423.7252241755,3601573.648976584,"Mangrove+Marsh Stock
(MgC)"
Egypt,total,4905162.949587768,6222448.599218097,3587877.299957439,"Mangrove+Marsh Stock
(MgC)"
Equatorial Guinea,total,4898966.571406899,5712847.816953628,4085085.32586017,"Mangrove+Marsh Stock
(MgC)"
Germany,total,4817335.317043865,6683933.654817636,2950736.979270094,"Mangrove+Marsh Stock
(MgC)"
Poland,total,4520305.718385573,5740678.672377485,3299932.7643936602,"Mangrove+Marsh Stock
(MgC)"
Latvia,total,4433475.217056016,5630406.040801483,3236544.3933105497,"Mangrove+Marsh Stock
(MgC)"
Jamaica,total,4251471.088800471,5015364.793779893,3487577.3838210497,"Mangrove+Marsh Stock
(MgC)"
Brunei,total,4216067.982840934,4916895.104958709,3515240.8607231583,"Mangrove+Marsh Stock
(MgC)"
Micronesia,total,4185142.516535896,4840733.760461947,3529551.272609845,"Mangrove+Marsh Stock
(MgC)"
New Zealand,total,3945287.311084778,4567517.153153636,3323057.469015921,"Mangrove+Marsh Stock
(MgC)"
Sweden,total,3392324.1073032287,4308169.373009324,2476478.8415971333,"Mangrove+Marsh Stock
(MgC)"
Benin,total,3352561.101741533,4050471.693035039,2654650.5104480265,"Mangrove+Marsh Stock
(MgC)"
Puerto Rico,total,3269449.3943168586,3819188.270114089,2719710.5185196283,"Mangrove+Marsh Stock
(MgC)"
Saudi Arabia,total,3164987.292188617,3694139.7475617747,2635834.836815459,"Mangrove+Marsh Stock
(MgC)"
Liberia,total,3027575.4188991324,3531643.7272805087,2523507.110517756,"Mangrove+Marsh Stock
(MgC)"
Cayman Islands,total,2929774.065526978,3417878.271144153,2441669.859909803,"Mangrove+Marsh Stock
(MgC)"
South Africa,total,2676942.7381289,3408615.351448923,1945270.1248088772,"Mangrove+Marsh Stock
(MgC)"
Spain,total,2664450.2106902595,2664450.2106902595,2664450.2106902595,"Mangrove+Marsh Stock
(MgC)"
Palau,total,2510386.9635567507,3365861.4559668005,1654912.471146701,"Mangrove+Marsh Stock
(MgC)"
Trinidad and Tobago,total,2458687.6425771965,2868631.785546555,2048743.4996078375,"Mangrove+Marsh Stock
(MgC)"
North Korea,total,2246977.459011426,2853606.8973818854,1640348.020640967,"Mangrove+Marsh Stock
(MgC)"
Albania,total,2190568.7268944588,2781969.1751626497,1599168.2786262678,"Mangrove+Marsh Stock
(MgC)"
Eritrea,total,2121567.2874740814,2473719.0376979876,1769415.5372501751,"Mangrove+Marsh Stock
(MgC)"
Netherlands,total,2053728.3693635897,2053728.3693635897,2053728.3693635897,"Mangrove+Marsh Stock
(MgC)"
Angola,total,1927205.0942913154,2053111.4674874246,1801298.7210952062,"Mangrove+Marsh Stock
(MgC)"
Peru,total,1891008.4194544624,2234862.8851034543,1547153.9538054706,"Mangrove+Marsh Stock
(MgC)"
Georgia,total,1763760.2116571832,2239932.7083267723,1287587.7149875942,"Mangrove+Marsh Stock
(MgC)"
Ireland,total,1660666.5734518664,1660666.5734518664,1660666.5734518664,"Mangrove+Marsh Stock
(MgC)"
Tunisia,total,1490570.785118427,1892988.7598076905,1088152.8104291633,"Mangrove+Marsh Stock
(MgC)"
Croatia,total,1386149.7728849975,1760376.605846872,1011922.939923123,"Mangrove+Marsh Stock
(MgC)"
Portugal,total,1289023.2274806444,1289023.2274806444,1289023.2274806444,"Mangrove+Marsh Stock
(MgC)"
Morocco,total,1175483.987715265,1492836.1660477105,858131.8093828196,"Mangrove+Marsh Stock
(MgC)"
Lithuania,total,1070937.5292866146,1360064.6984602697,781810.3601129595,"Mangrove+Marsh Stock
(MgC)"
Guadeloupe,total,970001.188543479,970001.188543479,970001.188543479,"Mangrove+Marsh Stock
(MgC)"
Somalia,total,960700.1512851563,1121008.8561171577,800391.4464531549,"Mangrove+Marsh Stock
(MgC)"
Côte d'Ivoire,total,844461.9823725678,992598.8162868972,696325.1484582383,"Mangrove+Marsh Stock
(MgC)"
United Arab Emirates,total,808206.5809249077,951214.6149068781,665198.5469429373,"Mangrove+Marsh Stock
(MgC)"
Mauritania,total,804565.3290358877,1020711.5511435331,588419.1069282424,"Mangrove+Marsh Stock
(MgC)"
Algeria,total,738744.2275860534,938187.2589714732,539301.1962006337,"Mangrove+Marsh Stock
(MgC)"
Montenegro,total,735881.6215900513,934551.8187573679,537211.4244227348,"Mangrove+Marsh Stock
(MgC)"
Falkland Islands,total,707865.9167840687,707865.9167840687,707865.9167840687,"Mangrove+Marsh Stock
(MgC)"
Bulgaria,total,539866.6461283021,685617.5520941506,394115.7401624536,"Mangrove+Marsh Stock
(MgC)"
Vanuatu,total,526258.4416375359,614006.0565479879,438510.82672708394,"Mangrove+Marsh Stock
(MgC)"
Seychelles,total,420655.3399757285,490478.4915147271,350832.18843672983,"Mangrove+Marsh Stock
(MgC)"
Martinique,total,415386.0293251838,484334.5458813477,346437.5127690199,"Mangrove+Marsh Stock
(MgC)"
Yemen,total,414118.37784873793,482856.4812406624,345380.27445681347,"Mangrove+Marsh Stock
(MgC)"
Timor-Leste,total,399936.7967256662,467225.0961854493,332648.49726588314,"Mangrove+Marsh Stock
(MgC)"
Antigua and Barbuda,total,366971.3854759801,429040.62278292776,304902.1481690325,"Mangrove+Marsh Stock
(MgC)"
Iran,total,358992.20665623713,452724.43995586125,265259.973356613,"Mangrove+Marsh Stock
(MgC)"
Tonga,total,308547.04391314863,360047.3271528388,257046.76067345846,"Mangrove+Marsh Stock
(MgC)"
Finland,total,234368.9785083099,297642.92068061157,171095.03633600823,"Mangrove+Marsh Stock
(MgC)"
French Southern Territories,total,220346.29825341332,256920.83211025962,183771.764396567,"Mangrove+Marsh Stock
(MgC)"
Djibouti,total,205931.0290929743,240112.82136921244,171749.23681673614,"Mangrove+Marsh Stock
(MgC)"
Togo,total,200366.67926641236,248677.11866568113,152056.2398671436,"Mangrove+Marsh Stock
(MgC)"
Mayotte,total,192614.9962414685,224586.50543953956,160643.48704339744,"Mangrove+Marsh Stock
(MgC)"
Singapore,total,190248.46347665897,190248.46347665897,190248.46347665897,"Mangrove+Marsh Stock
(MgC)"
Congo,total,188429.99913591647,225107.94579209964,151752.0524797333,"Mangrove+Marsh Stock
(MgC)"
Belgium,total,173549.98444797966,220404.27271538344,126695.69618057588,"Mangrove+Marsh Stock
(MgC)"
Qatar,total,166637.55927329962,196206.9936907387,137068.12485586054,"Mangrove+Marsh Stock
(MgC)"
Bosnia and Herzegovina,total,162256.37348438113,206061.6605931189,118451.08637564335,"Mangrove+Marsh Stock
(MgC)"
Samoa,total,146373.3724538201,170669.3915337326,122077.35337390762,"Mangrove+Marsh Stock
(MgC)"
Norway,total,141621.6425503357,179856.05257383885,103387.23252683255,"Mangrove+Marsh Stock
(MgC)"
Sudan,total,135928.5574287458,158490.8771282233,113366.23772926826,"Mangrove+Marsh Stock
(MgC)"
Namibia,total,113873.72488543091,144616.8698579635,83130.57991289833,"Mangrove+Marsh Stock
(MgC)"
Oman,total,110633.91967189618,131187.36339108064,90080.47595271171,"Mangrove+Marsh Stock
(MgC)"
Bonaire,total,84600.80112866116,98643.40084430492,70558.20141301739,"Mangrove+Marsh Stock
(MgC)"
Cyprus,total,82874.15131567384,105248.16297584157,60500.13965550611,"Mangrove+Marsh Stock
(MgC)"
Grenada,total,81149.91606248301,94619.71508354074,67680.11704142528,"Mangrove+Marsh Stock
(MgC)"
US Virgin Islands,total,71785.42798550778,83700.84742797389,59870.008543041666,"Mangrove+Marsh Stock
(MgC)"
Saint Pierre and Miquelon,total,69571.0700785095,88353.57232360366,50788.567833415334,"Mangrove+Marsh Stock
(MgC)"
Libya,total,59137.84015335693,75103.62326114844,43172.05704556541,"Mangrove+Marsh Stock
(MgC)"
Saint Lucia,total,53716.04864991526,62632.193171403254,44799.90412842727,"Mangrove+Marsh Stock
(MgC)"
Comoros,total,45906.35905968335,53926.11120053131,37886.606918835394,"Mangrove+Marsh Stock
(MgC)"
Iraq,total,45827.34203923341,58199.61335498662,33455.070723480196,"Mangrove+Marsh Stock
(MgC)"
Slovenia,total,35580.42517727662,45186.27736582931,25974.572988723936,"Mangrove+Marsh Stock
(MgC)"
Maldives,total,33146.768815840944,38648.68842106967,27644.849210612214,"Mangrove+Marsh Stock
(MgC)"
Bahrain,total,32473.869573068467,37864.096917832154,27083.64222830478,"Mangrove+Marsh Stock
(MgC)"
Curacao,total,30282.33850197686,35308.80104563739,25255.875958316334,"Mangrove+Marsh Stock
(MgC)"
