study_id,site_id,core_id,depth_min,depth_max,radioisotope,radioactivity,error
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5C,50,60,total_pb210_activity,31.547833396429,10.804238187708249
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5C,70,80,total_pb210_activity,12.616666691899999,4.3208505117071665
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,0,1,total_pb210_activity,55.31494979415982,2.3966731395741987
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,1,2,total_pb210_activity,54.149254958012406,2.475054329892624
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,2,3,total_pb210_activity,44.24015754354817,1.9737105810578892
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,3,4,total_pb210_activity,30.167834352269196,1.3812157080360643
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,4,5,total_pb210_activity,26.608382083950698,1.3010498769538783
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,5,6,total_pb210_activity,23.669462670511397,1.298095896887462
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,6,7,total_pb210_activity,19.157910898432363,1.365007371237994
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,7,8,total_pb210_activity,43.22856303005589,2.5125452361917326
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,8,9,total_pb210_activity,54.01676493869043,2.19038998946552
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,9,10,total_pb210_activity,39.65028636998957,2.3116856528269456
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,10,11,total_pb210_activity,29.48156774698612,1.5010699698376615
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,12,13,total_pb210_activity,22.983387751566703,1.4792009768914114
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,14,15,total_pb210_activity,20.933098916836563,1.293917035426946
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,16,17,total_pb210_activity,19.36857686713136,1.2719877617811275
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,20,21,total_pb210_activity,20.861761345316975,1.1518949722839296
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,24,25,total_pb210_activity,21.248320836135576,1.266049263181801
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,29,30,total_pb210_activity,20.6788984476501,1.0392686648028486
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,34,35,total_pb210_activity,21.567524737276464,1.406619652820286
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,39,40,total_pb210_activity,15.916031990249168,1.102798110004144
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,44,45,total_pb210_activity,15.736953396106111,1.1569857935112788
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,49,50,total_pb210_activity,10.352220614601194,0.8847902609275302
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,54,55,total_pb210_activity,9.639293679633957,0.8970110252865513
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,59,60,total_pb210_activity,8.743101829172469,0.9601609516486116
Arias-Ortiz_et_al_2021,US-MyB,Phragmites,64,65,total_pb210_activity,13.61934596980184,1.0236599305291076
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,0,1,total_pb210_activity,57.34585460453978,3.008409268045665
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,1,2,total_pb210_activity,57.633037240634245,3.166936264981949
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,2,3,total_pb210_activity,55.54582967333853,2.9392579106775765
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,3,4,total_pb210_activity,54.0728973778804,2.4257567008580296
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,4,5,total_pb210_activity,29.664628965308385,1.5081027685759734
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,5,6,total_pb210_activity,23.35061571655512,1.4364112948115395
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,6,7,total_pb210_activity,20.245773677417205,1.2081924545615663
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,7,8,total_pb210_activity,20.2529834397868,1.073287999704982
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,8,9,total_pb210_activity,21.214346209712136,1.2438186304441765
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,9,10,total_pb210_activity,18.61470621198456,1.1854380236226705
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,11,12,total_pb210_activity,17.590196683678723,1.0319379371789854
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,13,14,total_pb210_activity,18.150684805403245,1.188186253032406
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,17,18,total_pb210_activity,17.2601822737058,1.0816992949872355
Arias-Ortiz_et_al_2021,US-MyB,Typha M1,19,20,total_pb210_activity,16.893699536384375,0.9007489829702447
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,0,1,total_pb210_activity,53.70945206295932,2.3264481658405294
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,1,2,total_pb210_activity,41.054824096090414,1.8925558185281937
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,2,3,total_pb210_activity,36.74678373274296,1.7458873918863924
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,3,4,total_pb210_activity,38.38454302091656,1.7676162401654931
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,4,5,total_pb210_activity,34.22622488727847,1.9680929229280448
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,5,6,total_pb210_activity,36.23493183217888,2.063637215479781
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,6,7,total_pb210_activity,29.372710011503848,1.4723991943545112
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,7,8,total_pb210_activity,22.537099045373697,1.29848253657628
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,11,12,total_pb210_activity,23.7716552236552,1.20441101909088
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,15,16,total_pb210_activity,21.857942940321266,1.2935822687186715
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,19,20,total_pb210_activity,21.218691456876,1.12907380268559
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,24,25,total_pb210_activity,21.998368044889546,1.1327458041753862
Arias-Ortiz_et_al_2021,US-MyB,Typha M2,29,30,total_pb210_activity,21.960082159688277,1.0628946986471923
Arias-Ortiz_et_al_2021,US-Tw1,Typha W1,0,1,total_pb210_activity,36.65698488955619,2.0463025239746684
Arias-Ortiz_et_al_2021,US-Tw1,Typha W1,1,2,total_pb210_activity,62.46498150443576,2.9916816154171832
Arias-Ortiz_et_al_2021,US-Tw1,Typha W1,2,3,total_pb210_activity,58.90898817786131,3.469881161153916
Arias-Ortiz_et_al_2021,US-Tw1,Typha W1,3,4,total_pb210_activity,56.650744100472544,3.0853962711838565
Arias-Ortiz_et_al_2021,US-Tw1,Typha W1,4,5,total_pb210_activity,67.04145845347249,2.6791665482742677
Arias-Ortiz_et_al_2021,US-Tw1,Typha W1,5,6,total_pb210_activity,69.7931626829392,3.7433375477636663
Arias-Ortiz_et_al_2021,US-Tw1,Typha W1,6,7,total_pb210_activity,57.79881741462325,2.9336144700513396
Arias-Ortiz_et_al_2021,US-Tw1,Typha W1,7,8,total_pb210_activity,63.425443563109106,3.5444297198438557
Arias-Ortiz_et_al_2021,US-Tw1,Typha W1,8,9,total_pb210_activity,53.66177100594499,2.7848513381005633
Arias-Ortiz_et_al_2021,US-Tw1,Typha W1,9,10,total_pb210_activity,41.21472513787756,2.0515143949224313
Arias-Ortiz_et_al_2021,US-Tw1,Typha W1,10,11,total_pb210_activity,48.74708104420679,2.623455104623599
Arias-Ortiz_et_al_2021,US-Tw1,Typha W1,11,12,total_pb210_activity,41.891371716365704,2.3990269144379237
Arias-Ortiz_et_al_2021,US-Tw1,Typha W1,12,13,total_pb210_activity,32.75932130244035,1.855516212841602
Arias-Ortiz_et_al_2021,US-Tw1,Typha W1,13,14,total_pb210_activity,38.06453044892765,2.0666463046969374
Arias-Ortiz_et_al_2021,US-Tw1,Typha W1,14,15,total_pb210_activity,43.080013679217664,2.1151503807629988
Arias-Ortiz_et_al_2021,US-Tw1,Typha W1,15,16,total_pb210_activity,34.975087211897396,2.0259264856670947
Arias-Ortiz_et_al_2021,US-Tw1,Typha W1,16,17,total_pb210_activity,27.93922357693465,1.5882240577764248
Arias-Ortiz_et_al_2021,US-Tw1,Typha W1,17,18,total_pb210_activity,22.792371610821032,1.2620291276318494
Arias-Ortiz_et_al_2021,US-Tw1,Typha W1,18,19,total_pb210_activity,22.854584747361937,1.3769377186058398
Arias-Ortiz_et_al_2021,US-Tw1,Typha W1,19,20,total_pb210_activity,24.089151150647226,1.6508262979983457
Arias-Ortiz_et_al_2021,US-Tw1,Typha W1,20,21,total_pb210_activity,17.747666586588952,1.3286406886235518
