study_id,reference,mentions_carbon,mentions_biomass
McLeod E._et_al_2011,"McLeod, E., et al., A blueprint for blue carbon: Toward an improved understanding of the role of vegetated coastal habitats in sequestering CO2. Frontiers in Ecology and the Environment, 2011.",TRUE,FALSE
Meng W._et_al_2019,"Meng, W., Feagin, R. A., Hu, B., He, M., & Li, H. (2019). The spatial distribution of blue carbon in the coastal wetlands of China. Estuarine, Coastal and Shelf Science, 222, 13-20.",TRUE,FALSE
Mercado J.M._et_al_2003,"Mercado, J.M., et al., Use of light and inorganic carbon acquisition by two morphotypes of Zostera noltii Hornem. Journal of Experimental Marine Biology and Ecology, 2003.",TRUE,FALSE
Miyajima T._et_al_2015,"Miyajima, T., Hori, M., Hamaguchi, M., Shimabukuro, H., Adachi, H., Yamano, H., & Nakaoka, M. (2015). Geographic variability in organic carbon stock and accumulation rate in sediments of East and Southeast Asian seagrass meadows. Global Biogeochemical Cycles, 29(4), 397-415.",TRUE,FALSE
Miyajima T._et_al_2021,"Miyajima, T., M. Hamaguchi, and M. Hori, Evaluation of the baseline carbon sequestration rates of Indo-Pacific temperate and tropical seagrass meadow sediments. Ecological Research, 2021.",TRUE,FALSE
Moksnes P.-O._et_al_2021,"Moksnes, P.-O., et al., Major impacts and societal costs of seagrass loss on sediment carbon and nitrogen stocks. Ecosphere, 2021.",TRUE,FALSE
Monnier B._et_al_2021,"Monnier, B., et al., Sizing the carbon sink associated with Posidonia oceanica seagrass meadows using very high-resolution seismic reflection imaging. Marine Environmental Research, 2021.",TRUE,FALSE
Monnier B._et_al_2022,"Monnier, B., Pergent, G., Mateo, M. Á., Clabaut, P., & Pergent-Martini, C. (2022). Quantification of blue carbon stocks associated with Posidonia oceanica seagrass meadows in Corsica (NW Mediterranean). Science of The Total Environment, 155864.",TRUE,FALSE
Novak A.B._et_al_2020,"Novak, A.B., Pelletier, M.C., Colarusso, P., Simpson, J., Gutierrez, M.N., Arias-Ortiz, A., Charpentier, M., Masque, P. and Vella, P., 2020. Factors influencing carbon stocks and accumulation rates in eelgrass meadows across New England, USA. Estuaries and Coasts, 43(8), pp.2076-2091.",TRUE,FALSE
Nugraha A._et_al_2019,"Nugraha, A. H., Kawaroe, M., Srimariana, E. S., Jaya, I., Apdillah, D., & Deswati, S. R. (2019, May). Carbon storage in seagrass meadow of Teluk Bakau–Bintan Island. In IOP Conference Series: Earth and Environmental Science (Vol. 278, No. 1, p. 012051). IOP Publishing.",TRUE,FALSE
O'Connor J.J._et_al_2020,"O'Connor, J.J., et al., Impacts of land management practices on blue carbon stocks and greenhouse gas fluxes in coastal ecosystems-A meta-analysis. Global Change Biology, 2020.",TRUE,FALSE
O'Mara N.A._et_al_2019,"O'Mara, N.A. and J.P. Dunne, Hot Spots of Carbon and Alkalinity Cycling in the Coastal Oceans. Scientific Reports, 2019.",TRUE,FALSE
Oreska M._et_al_2017,"Oreska, M., K. McGlathery, and J. Porter, Seagrass blue carbon spatial patterns at the meadow-scale. PloS one, 2017.",TRUE,FALSE
Oreska M._et_al_2018,"Oreska, M., G. Wilkinson, and ... Non‐seagrass carbon contributions to seagrass sediment blue carbon. Limnology and …, 2018.",TRUE,FALSE
Ouisse V._et_al_2011,"Ouisse, V., A. Migné, and D. Davoult, Community-level carbon flux variability over a tidal cycle in Zostera marina and Z. Noltii beds. Marine Ecology Progress Series, 2011.",TRUE,FALSE
Pedersen M._et_al_1997,"Pedersen, M. F., Duarte, C. M., and Cebrian, J. (1997). Rates of changes in organic matter and nutrient stocks during seagrass Cymodocea nodosa colonization and stand development. Marine Ecology-Progress Series 159, 29-36. doi:10.3354/meps159029",TRUE,FALSE
Pendleton L._et_al_2012,"Pendleton, L., et al., Estimating Global ""Blue Carbon"" Emissions from Conversion and Degradation of Vegetated Coastal Ecosystems. PLoS ONE, 2012.",TRUE,FALSE
Pérez M._et_al_2001,"Pérez, M., et al., Variability in detritus stocks in beds of the seagrass Cymodocea nodosa. Botanica Marina, 2001.",TRUE,FALSE
Pergent G._et_al_2015,"Pergent, G., et al., Assessment of carbon sequestration in Posidonia meadow. 12th International Conference on the Mediterranean Coastal Environment, MEDCOAST 2015, 2015.",TRUE,FALSE
Perry C._et_al_2005,"Perry, C. T., and Beavington-Penney, S. J. (2005). Epiphytic calcium carbonate production and facies development within sub-tropical seagrass beds, Inhaca Island, Mozambique. Sedimentary Geology, 174(3), 161-176.",TRUE,FALSE
Phang V._et_al_2015,"Phang, V. X., Chou, L. M., & Friess, D. A. (2015). Ecosystem carbon stocks across a tropical intertidal habitat mosaic of mangrove forest, seagrass meadow, mudflat and sandbar. Earth Surface Processes and Landforms, 40(10), 1387-1400.",TRUE,FALSE
Potouroglou M._et_al_2021,"Potouroglou, M., et al., The sediment carbon stocks of intertidal seagrass meadows in Scotland. Estuarine, Coastal and Shelf Science, 2021.",TRUE,FALSE
Prentice C._et_al_2019,"Prentice, C., Poppe, K. L., Lutz, M., Murray, E., Stephens, T. A., Spooner, A., & Short, F. T. (2019). A synthesis of blue carbon stocks, sources and accumulation rates in eelgrass (Zostera marina) meadows in the Northeast Pacific. Global Biogeochemical Cycles.",TRUE,FALSE
Prentice C._et_al_2019,"Prentice, C., et al., Reduced water motion enhances organic carbon stocks in temperate eelgrass meadows. Limnology and Oceanography, 2019.",TRUE,FALSE
Qin L._et_al_2021,"Qin, L. Z., Suonan, Z., Kim, S. H., & Lee, K. S. (2021). Coastal Sediment Nutrient Enrichment Alters Seagrass Blue Carbon Sink Capacity. Environmental Science & Technology, 55(22), 15466-15475.",TRUE,FALSE
Qiu G.L._et_al_2014,"Qiu, G.L., et al., Seagrass ecosystems: Contributions to and mechanisms of carbon sequestration. Chinese Journal of Applied Ecology, 2014.",TRUE,FALSE
Rabaoui L._et_al_2020,"Rabaoui, L., et al., Anthropogenic-induced acceleration of elemental burial rates in blue carbon repositories of the Arabian Gulf. Science of the Total Environment, 2020.",TRUE,FALSE
Rahayu Y._et_al_2019,"Rahayu, Y. P., Solihuddin, T., Kusumaningtyas, M. A., Afi Ati, R. N., Salim, H. L., Rixen, T., & Hutahaean, A. A. (2019). The sources of organic matter in seagrass sediments and their contribution to carbon stocks in the Spermonde Islands, Indonesia. Aquatic Geochemistry, 25(3), 161-178.",TRUE,FALSE
Rahman F.A._et_al_2018,"Rahman, F.A., I. Qayim, and Y. Wardiatno, Carbon storage variability in seagrass meadows of Marine Poton Bako, East Lombok, West Nusa Tenggara, Indonesia. Biodiversitas, 2018.",TRUE,FALSE
Rahmawati S._et_al_2019,"Rahmawati, S., U.E. Hernawan, and A. Rustam, The seagrass carbon content of 0.336 of dry weight can be applied in Indonesian seagrasses. AIP Conference Proceedings, 2019.",TRUE,FALSE
Ralph P.J._et_al_2018,"Ralph, P.J., et al., Estimating seagrass blue carbon and policy implications: The Australian perspective. Seagrasses of Australia: Structure, Ecology and Conservation, 2018.",TRUE,FALSE
Rasheed M.A._et_al_2008,"Rasheed, M.A., et al., Productivity, carbon assimilation and intra-annual change in tropical reef platform seagrass communities of the Torres Strait, north-eastern Australia. Continental Shelf Research, 2008.",TRUE,FALSE
Reithmaier G.M.S._et_al_2021,"Reithmaier, G.M.S., et al., Alkalinity Production Coupled to Pyrite Formation Represents an Unaccounted Blue Carbon Sink. Global Biogeochemical Cycles, 2021.",TRUE,FALSE
Ricart A._et_al_2015,"Ricart, A., et al., Variability of sedimentary organic carbon in patchy seagrass landscapes. Marine Pollution …, 2015.",TRUE,FALSE
Ricart A._et_al_2017,"Ricart, A., M. Pérez, and J. Romero, Landscape configuration modulates carbon storage in seagrass sediments. Estuarine, Coastal and Shelf Science, 2017.",TRUE,FALSE
Ricart A._et_al_2020,"Ricart, A., et al., High variability of Blue Carbon storage in seagrass meadows at the estuary scale. Scientific reports, 2020.",TRUE,FALSE
RoÈhr ME_et_al_2016,"RoÈhr ME, BostroÈm C, Canal-VergeÂs P, Holmer M. Blue carbon stocks in Baltic Sea eelgrass (Zostera marina) meadows. Biogeosciences. 2016; 13(22): 6139±53.",TRUE,FALSE
Röhr M.E._et_al_2018,"Röhr, M.E., Holmer, M., Baum, J.K., Björk, M., Boyer, K., Chin, D., Chalifour, L., Cimon, S., Cusson, M., Dahl, M. and Deyanova, D., 2018. Blue carbon storage capacity of temperate eelgrass (Zostera marina) meadows. Global Biogeochemical Cycles, 32(10), pp.1457-1475.",TRUE,FALSE
Rosentreter J.A._et_al_2021,"Rosentreter, J.A., et al., Methane and Nitrous Oxide Emissions Complicate Coastal Blue Carbon Assessments. Global Biogeochemical Cycles, 2021.",TRUE,FALSE
Rozaimi M._et_al_2016,"Rozaimi, M., Lavery, P. S., Serrano, O., & Kyrwood, D. (2016). Long-term carbon storage and its recent loss in an estuarine Posidonia australis meadow (Albany, Western Australia). Estuarine, Coastal and Shelf Science, 171, 58-65.",TRUE,FALSE
Rozaimi M._et_al_2017,"Rozaimi, M., Fairoz, M., Hakimi, T. M., Hamdan, N. H., Omar, R., Ali, M. M., & Tahirin, S. A. (2017). Carbon stores from a tropical seagrass meadow in the midst of anthropogenic disturbance. Marine pollution bulletin, 119(2), 253-260.",TRUE,FALSE
Ruiz-Fernández A._et_al_2020,"Ruiz-Fernández, A. C., Sanchez-Cabeza, J. A., Cuéllar-Martínez, T., Pérez-Bernal, L. H., Carnero-Bravo, V., Ávila, E., & Cardoso-Mohedano, J. G. (2020). Increasing salinization and organic carbon burial rates in seagrass meadows from an anthropogenically-modified coastal lagoon in southern Gulf of Mexico. Estuarine, Coastal and Shelf Science, 242, 106843.",TRUE,FALSE
Rustam A._et_al_2021,"Rustam, A., et al., The role of seagrass ecosystem in small islands as a blue carbon in climate change mitigation in Indonesia (case study: Lembeh Island, Bitung Regency). IOP Conference Series: Earth and Environmental Science, 2021.",TRUE,FALSE
Saderne V._et_al_2019,"Saderne, V., et al., Role of carbonate burial in Blue Carbon budgets. Nature Communications, 2019.",TRUE,FALSE
Samper‐Villarreal J._et_al_2016,"Samper‐Villarreal, J., Lovelock, C. E., Saunders, M. I., Roelfsema, C., & Mumby, P. J. (2016). Organic carbon in seagrass sediments is influenced by seagrass canopy complexity, turbidity, wave height, and water depth. Limnology and Oceanography, 61(3), 938-952.",TRUE,FALSE
Sani D.A._et_al_2019,"Sani, D.A. and M. Hashim, Multi-sensor mapping and estimation of seagrass aboveground blue carbon stocks using Landsat OLI and ETM+ along merambong coastal water. 40th Asian Conference on Remote Sensing, ACRS 2019: Progress of Remote Sensing Technology for Smart Future, 2020.",TRUE,FALSE
Santos I.R._et_al_2021,"Santos, I.R., et al., The renaissance of Odum's outwelling hypothesis in 'Blue Carbon' science. Estuarine, Coastal and Shelf Science, 2021.",TRUE,FALSE
Santos R._et_al_2004,"Santos, R., et al., Ecosystem metabolism and carbon fluxes of a tidally-dominated coastal lagoon. Estuaries, 2004.",TRUE,FALSE
Schile L.M._et_al_2017,"Schile, L.M., et al., Limits on carbon sequestration in arid blue carbon ecosystems. Ecological Applications, 2017.",TRUE,FALSE
Serrano O._et_al_2012,"Serrano, O., Mateo, M. A., Renom, P., and Julià, R. (2012). Characterization of soils beneath a Posidonia oceanica meadow. Geoderma, 185, 26-36.",TRUE,FALSE
Serrano O._et_al_2014,"Serrano, O., et al., Influence of water depth on the carbon sequestration capacity of seagrasses. Global Biogeochemical Cycles, 2014.",TRUE,FALSE
Serrano O._et_al_2016,"Serrano, O., et al., Can mud (silt and clay) concentration be used to predict soil organic carbon content within seagrass ecosystems? …, 2016.",TRUE,FALSE
Serrano O._et_al_2016,"Serrano, O., Lavery, P. S., Lopez-Merino, L., Ballesteros, E., & Mateo, M. A. (2016). Location and associated carbon storage of erosional escarpments of seagrass Posidonia mats. Frontiers in Marine Science, 3, 42.",TRUE,FALSE
Serrano O._et_al_2018,"Serrano, O., Almahasheer, H., Duarte, C. M., & Irigoien, X. (2018). Carbon stocks and accumulation rates in Red Sea seagrass meadows. Scientific reports, 8(1), 1-13.",TRUE,FALSE
Serrano O._et_al_2018,"Serrano, O., et al., Conservation of blue carbon ecosystems for climate change mitigation and adaptation. Coastal Wetlands: An Integrated Ecosystem Approach, 2018.",TRUE,FALSE
Serrano O._et_al_2021,"Serrano, O., et al., Seagrass blue carbon stocks and sequestration rates in the Colombian Caribbean. Scientific Reports, 2021.",TRUE,FALSE
Siikamaeki J._et_al_2013,"Siikamaeki, J., et al., BLUE CARBON Coastal Ecosystems, Their Carbon Storage, and Potential for Reducing Emissions. Environment, 2013.",TRUE,FALSE
Singh S._et_al_2022,"Singh, S., Lal, M. M., Southgate, P. C., Wairiu, M., & Singh, A. (2022). Blue carbon storage in Fijian seagrass meadows: First insights into carbon, nitrogen and phosphorus content from a tropical southwest Pacific Island. Marine Pollution Bulletin, 176, 113432.",TRUE,FALSE
Soissons L.M._et_al_2018,"Soissons, L.M., et al., Latitudinal Patterns in European Seagrass Carbon Reserves: Influence of Seasonal Fluctuations versus Short-Term Stress and Disturbance Events. Frontiers in Plant Science, 2018.",TRUE,FALSE
Sondak C.F.A._et_al_2015,"Sondak, C.F.A. and I.K. Chung, Potential blue carbon from coastal ecosystems in the Republic of Korea. Ocean Science Journal, 2015.",TRUE,FALSE
Sousa A.I._et_al_2019,"Sousa, A.I., et al., Blue Carbon stock in Zostera noltei meadows at Ria de Aveiro coastal lagoon (Portugal) over a decade. Scientific Reports, 2019.",TRUE,FALSE
Stankovic M._et_al_2021,"Stankovic, M., et al., Quantification of blue carbon in seagrass ecosystems of Southeast Asia and their potential for climate change mitigation. Science of the Total Environment, 2021.",TRUE,FALSE
Stankovic M._et_al_2021,"Stankovic, M., Hayashizaki, K. I., Tuntiprapas, P., Rattanachot, E., & Prathep, A. (2021). Two decades of seagrass area change: Organic carbon sources and stock. Marine Pollution Bulletin, 163, 111913.",TRUE,FALSE
Su J._et_al_2021,"Su, J., et al., Supply-controlled calcium carbonate dissolution decouples the seasonal dissolved oxygen and pH minima in Chesapeake Bay. Limnology and Oceanography, 2021.",TRUE,FALSE
Su Z._et_al_2020,"Su, Z., et al., Changes in carbon storage and macrobenthic communities in a mangrove-seagrass ecosystem after the invasion of smooth cordgrass in southern China. Marine Pollution Bulletin, 2020.",TRUE,FALSE
Su Z._et_al_2020,"Su, Z., Qiu, G., Fan, H., & Fang, C. (2020). Seagrass beds store less carbon but support more macrobenthos than mangrove forests. Marine Environmental Research, 162, 105162.",TRUE,FALSE
Suzuki Y._et_al_2003,"Suzuki, Y., et al., CO2 sequestration and fate of organic matters within seagrass (Zostera marina) ecosystem. Journal of Chemical Engineering of Japan, 2003.",TRUE,FALSE
Tamis J._et_al_2016,"Tamis, J. E., & Foekema, E. M. (2016). Blue carbon in the Dutch Caribbean: Memo. IMARES Wageningen UR. Paper attached",TRUE,FALSE
Tamondong A._et_al_2018,"Tamondong, A., et al., Remote sensing-based estimation of seagrass percent cover and LAI for above ground carbon sequestration mapping. Proceedings of SPIE - The International Society for Optical Engineering, 2018.",TRUE,FALSE
Thorhaug A._et_al_2017,"Thorhaug, A., et al., Seagrass blue carbon dynamics in the Gulf of Mexico: Stocks, losses from anthropogenic disturbance, and gains through seagrass restoration. Science of the total …, 2017.",TRUE,FALSE
Thorhaug A._et_al_2020,"Thorhaug, A., et al., Coastal and estuarine blue carbon stocks in the greater Southeast Asia region: Seagrasses and mangroves per nation and sum of total. Marine Pollution Bulletin, 2020.",TRUE,FALSE
Trevathan-Tackett S._et_al_2017,"Trevathan-Tackett, S., P. Macreadie, and ... A global assessment of the chemical recalcitrance of seagrass tissues: implications for long-term carbon sequestration. Frontiers in plant …, 2017.",TRUE,FALSE
Tupan C.I._et_al_2020,"Tupan, C.I. and M. Wawo, Carbon stock of the seagrass Enhalus acoroides and Thalassia hemprichii in Tanjung Tiram coastal waters, Poka, Ambon Island. IOP Conference Series: Earth and Environmental Science, 2020.",TRUE,FALSE
Uede T._et_al_2007,"Uede, T., Annual net production and annual carbon, nitrogen and phosphorus accumulations of Zostera japonica at intertidal zone in Uchinoura, Tanabe Bay, Wakayama Prefecture, Japan. Nippon Suisan Gakkaishi, 2007.",TRUE,FALSE
Velimirov B._et_al_2016,"Velimirov, B., et al., Estimating carbon fluxes in a Posidonia oceanica system: Paradox of the bacterial carbon demand. Estuarine, Coastal and Shelf Science, 2016.",TRUE,FALSE
Wahyudi A.a.J._et_al_2017,"Wahyudi, A.a.J., et al., Carbon sequestration index as a determinant for climate change mitigation: Case study of Bintan Island. 1st Global Colloquium on GeoSciences and Engineering (GCGE), 2017.",TRUE,FALSE
Wahyudi A.a.J._et_al_2021,"Wahyudi, A.a.J., et al., The decomposition rate of the organic carbon content of suspended particulate matter in the tropical seagrass meadows. Acta Oceanologica Sinica, 2021.",TRUE,FALSE
Wahyudi A.J._et_al_2016,"Wahyudi, A.J., et al., Vertical carbon flux of marine snow in Enhalus acoroides-dominated seagrass meadows. Regional Studies in Marine Science, 2016.",TRUE,FALSE
Ward M.A._et_al_2021,"Ward, M.A., et al., Blue carbon stocks and exchanges along the California coast. Biogeosciences, 2021.",TRUE,FALSE
Watanabe K._et_al_2015,"Watanabe, K. and T. Kuwae, Radiocarbon isotopic evidence for assimilation of atmospheric CO2 by the seagrass Zostera marina. Biogeosciences, 2015.",TRUE,FALSE
Watanabe K._et_al_2021,"Watanabe, K. and T. Kuwae, An unintended ecological benefit from human intervention: The enhancement of carbon storage in seagrass meadows. Journal of Applied Ecology, 2021.",TRUE,FALSE
Watiniasih N.L._et_al_2021,"Watiniasih, N.L., et al., Carbon Storage on Different Species of Seagrass on Tourist Destination Areas: A Measure of Disturbed and Undisturbed Environments. International Journal on Advanced Science, Engineering and Information Technology, 2021.",TRUE,FALSE
Wawo M._et_al_2014,"Wawo, M., et al., Carbon stored on seagrass community in marine nature tourism park of kotania bay, Western Seram, Indonesia. Jurnal Manajemen Hutan Tropika, 2014.",TRUE,FALSE
Wesselmann M._et_al_2021,"Wesselmann, M., et al., Seagrass (Halophila stipulacea) invasion enhances carbon sequestration in the Mediterranean Sea. Global Change Biology, 2021.",TRUE,FALSE
Wicaksono P._et_al_2019,"Wicaksono, P., et al., Carbon stock estimation of seagrass species thalassia hempricii using planet imagery with band ratio transformation in nirwana beach, padang city. IOP Conference Series: Earth and Environmental Science, 2019.",TRUE,FALSE
Wu J._et_al_2020,"Wu, J., Zhang, H., Pan, Y., Krause-Jensen, D., He, Z., Fan, W., ... & Duarte, C. M. (2020). Opportunities for blue carbon strategies in China. Ocean & Coastal Management, 194, 105241.",TRUE,FALSE
Yang D.-t._et_al_2013,"Yang, D.-t., S.-m. Liu, and X.-j. Shan, Progress in detecting seagrass carbon flux over optically shallow water using satellite remote sensing. Journal of Tropical Oceanography, 2013.",TRUE,FALSE
Yates K.K._et_al_2006,"Yates, K.K. and R.B. Halley, Diurnal variation in rates of calcification and carbonate sediment dissolution in Florida Bay. Estuaries and Coasts, 2006.",TRUE,FALSE
York P.H._et_al_2018,"York, P.H., P.I. Macreadie, and M.A. Rasheed, Erratum: Blue Carbon stocks of Great Barrier Reef deep-water seagrasses (Biology Letters (2018) 12 (20180529) DOI: 10.1098/rsbl.2018.0529). Biology Letters, 2020.",TRUE,FALSE
Yue S._et_al_2021,"Yue, S., Zhang, X., Xu, S., Liu, M., Qiao, Y., Zhang, Y., Liang, J., Wang, A. and Zhou, Y., 2021. The super typhoon Lekima (2019) resulted in massive losses in large seagrass (Zostera japonica) meadows, soil organic carbon and nitrogen pools in the intertidal Yellow River Delta, China. Science of The Total Environment, 793, p.148398.",TRUE,FALSE
Zhijian Jiang_et_al_2017,"Zhijian Jiang, Songlin Liu, Jingping Zhang, Chunyu Zhao, Yunchao Wu, Shuo Yu, Xia Zhang, Chi Huang, Xiaoping Huang, Manoj Kumar, 2017 Newly discovered seagrass beds and their potential for blue carbon in the coastal seas of Hainan Island, South China Sea, Marine Pollution Bulletin, 125, (1–2), 513-521",TRUE,FALSE
Ziegler S._et_al_1999,"Ziegler, S., & Benner, R. (1999). Dissolved organic carbon cycling in a subtropical seagrass-dominated lagoon. Marine Ecology Progress Series, 180, 149-160.",TRUE,FALSE
Zimmerman R.C._et_al_1996,"Zimmerman, R.C., D.G. Kohrs, and R.S. Alberte, Top-Down impact through a bottom-Up mechanism: The effect of limpet grazing on growth, productivity and carbon allocation of Zostera marina L. (eelgrass). Oecologia, 1996.",TRUE,FALSE
Zou Y.F._et_al_2021,"Zou, Y.F., K.Y. Chen, and H.J. Lin, Significance of belowground production to the long-term carbon sequestration of intertidal seagrass beds. Science of the Total Environment, 2021.",TRUE,FALSE
Apostolaki E._et_al_2009,"Apostolaki, E. T., Marbà, N., Holmer, M., & Karakassis, I. (2009). Fish farming enhances biomass and nutrient loss in Posidonia oceanica (L.) Delile. Estuarine, Coastal and Shelf Science, 81(3), 390-400.",FALSE,TRUE
Bourgues S._et_al_1996,"Bourgues, S., et al., Differential anaerobic decomposition of seagrass (Zostera noltii) and macroalgal (Monostroma obscurum) biomass from Arcachon Bay (France). Hydrobiologia, 1996.",FALSE,TRUE
Brouns J._et_al_1985,"Brouns, J., A comparison of the annual production and biomass in three monospecific stands of the seagrass Thalassia hemprichii (Ehrenb.) aschers. Aquatic Botany, 1985.",FALSE,TRUE
Brouns J._et_al_1986,"Brouns, J. and F. Heijs, Production and biomass of the seagrass Enhalus acoroides (Lf) Royle and its epiphytes. Aquatic Botany, 1986.",FALSE,TRUE
Cabello-Pasini A._et_al_2003,"Cabello-Pasini, A., R. Muniz-Salazar, and D.H. Ward, Annual variations of biomass and photosynthesis in Zostera marina at its southern end of distribution in the North Pacific. Aquatic Botany, 2003.",FALSE,TRUE
Collier C.J._et_al_2021,"Collier, C.J., et al., What lies beneath: Predicting seagrass below-ground biomass from above-ground biomass, environmental conditions and seagrass community composition. Ecological Indicators, 2021.",FALSE,TRUE
Duarte C._et_al_1989,"Duarte, C., Temporal biomass variability and production/biomass relationships of seagrass communities. Marine ecology progress series. Oldendorf, 1989.",FALSE,TRUE
Duarte C._et_al_1990,"Duarte, C. and K. Sand-Jensen, Seagrass colonization: biomass development and shoot demography in Cymodocea nodosa patches. Marine ecology progress series. Oldendorf, 1990.",FALSE,TRUE
Duarte C._et_al_1998,"Duarte, C., et al., Root production and belowground seagrass biomass. Marine Ecology …, 1998.",FALSE,TRUE
Duarte C._et_al_1999,"Duarte, C. and C. Chiscano, Seagrass biomass and production: a reassessment. Aquatic botany, 1999.",FALSE,TRUE
Erftemeijer P._et_al_1994,"Erftemeijer, P. and P. Herman, Seasonal changes in environmental variables, biomass, production and nutrient contents in two contrasting tropical intertidal seagrass beds in South Sulawesi …. Oecologia, 1994.",FALSE,TRUE
Govindasamy C._et_al_2011,"Govindasamy, C. and M. Arulpriya, Seasonal variation in seagrass biomass in Northern Palk Bay, India. Biodiversity, 2011.",FALSE,TRUE
Ha N.T._et_al_2021,"Ha, N.T., et al., The use of radar and optical satellite imagery combined with advanced machine learning and metaheuristic optimization techniques to detect and quantify above ground biomass of intertidal seagrass in a New Zealand estuary. International Journal of Remote Sensing, 2021.",FALSE,TRUE
Hillman K._et_al_1995,"Hillman, K., A. McComb, and D. Walker, The distribution, biomass and primary production of the seagrass Halophila ovalis in the Swan/Canning Estuary, Western Australia. Aquatic Botany, 1995.",FALSE,TRUE
Kaldy J.E._et_al_2000,"Kaldy, J.E. and K.H. Dunton, Above- and below-ground production, biomass and reproductive ecology of Thalassia testudinum (turtle grass) in a subtropical coastal lagoon. Marine Ecology Progress Series, 2000.",FALSE,TRUE
Koedsin W._et_al_2016,"Koedsin, W., et al., An integrated field and remote sensing method for mapping seagrass species, cover, and biomass in southern Thailand. Remote Sensing, 2016.",FALSE,TRUE
Long M.H._et_al_2015,"Long, M.H., P. Berg, and J.L. Falter, Seagrass metabolism across a productivity gradient using the eddy covariance, Eulerian control volume, and biomass addition techniques. Journal of Geophysical Research: Oceans, 2015.",FALSE,TRUE
López-Calderón J._et_al_2013,"López-Calderón, J. M., Guzmán, H. M., Jácome, G. E., & Barnes, P. A. (2013). Decadal increase in seagrass biomass and temperature at the CARICOMP site in Bocas del Toro, Panama. Revista de Biología Tropical, 61(4), 1815-1826.",FALSE,TRUE
Murcia S._et_al_2015,"Murcia, S., et al., Phenology, biomass and productivity of sub-Antarctic Ruppia filifolia. Polar Biology, 2015.",FALSE,TRUE
Mvungi E.F._et_al_2012,"Mvungi, E.F. and F.A. Mamboya, Photosynthetic performance, epiphyte biomass and nutrient content of two seagrass species in two areas with different level of nutrients along the Dar es Salaam coast. African Journal of Marine Science, 2012.",FALSE,TRUE
Nakaoka M._et_al_2000,"Nakaoka, M., & Supanwanid, C. (2000). Quantitative estimation of the distribution and biomass of seagrasses at Haad Chao Mai National Park, Trang Province, Thailand. Journal of Fisheries and Environment, 22, 10-22.",FALSE,TRUE
Ouisse V._et_al_2010,"Ouisse, V., A. Migné, and D. Davoult, Seasonal variations of community production, respiration and biomass of different primary producers in an intertidal Zostera noltii bed (Western English Channel, France). Hydrobiologia, 2010.",FALSE,TRUE
Penhale P._et_al_1977,"Penhale, P. A. (1977). Macrophyte-epiphyte biomass and productivity in an eelgrass (Zostera marina L.) community. Journal of Experimental Marine Biology and Ecology, 26(2), 211-224.",FALSE,TRUE
Poovachiranon S._et_al_1994,"Poovachiranon, S., & Chansang, H. (1994). Community structure and biomass of seagrass beds in the Andaman Sea. I. Mangrove-associated seagrass beds. Phuket Marine Biological Center Research Bulletin, 59, 53-64.",FALSE,TRUE
Prarikeslan W._et_al_2019,"Prarikeslan, W., et al., Density, coverage and biomass of seagrass ecosystem in the Lobam Island, Bintan Regency - Indonesia. IOP Conference Series: Earth and Environmental Science, 2019.",FALSE,TRUE
Sfriso A._et_al_1998,"Sfriso, A. and P. Francesco Ghetti, Seasonal variation in biomass, morphometric parameters and production of seagrasses in the lagoon of Venice. Aquatic Botany, 1998.",FALSE,TRUE
Terrados J._et_al_1998,"Terrados, J., et al., Changes in community structure and biomass of seagrass communities along gradients of siltation in SE Asia. Estuarine, Coastal and …, 1998.",FALSE,TRUE
Tilaar F._et_al_2020,"Tilaar, F., et al., Ecology, diversity and biomass of seagrass species in Manado Tua Island, North Sulawesi, Indonesia. AACL Bioflux, 2020.",FALSE,TRUE
Van Lent_et_al_1991,"Van Lent, F., P.H. Nienhuis, and J.M. Verschuure, Production and biomass of the seagrasses Zostera noltii Hornem. and Cymodecea nodosa (Ucria) Aschers. at the Banc d'Arguin (Mauritania, NW Africa): a preliminary approach. Aquatic Botany, 1991.",FALSE,TRUE
Wium-Andersen S._et_al_1984,"Wium-Andersen, S., & Borum, J. (1984). Biomass variation and autotrophic production of an epiphyte-macrophyte community in a coastal Danish area: I. Eelgrass (Zostera marina L.) biomass and net production. Ophelia, 23(1), 33-46.",FALSE,TRUE
Xu Z.Z._et_al_2007,"Xu, Z.Z., et al., Review of seagrass biomass and primary production research. Shengtai Xuebao/ Acta Ecologica Sinica, 2007.",FALSE,TRUE
Abed-Navandi D_et_al_2005,"Abed-Navandi D and Dworschak P.C. 2005 Food sources of a tropical thalassinidean shrimps: a stable isotope study. Mar. Ecol. Prog. Ser. 291, 159-168",FALSE,FALSE
Adams J._et_al_2016,"Adams, J. B. (2016). Distribution and status of Zostera capensis in South African estuaries—a review. South African Journal of Botany, 107, 63-73.",FALSE,FALSE
