study_id,bibliography_id,publication_type,bibtype,title,author,school,doi,url,year,month,publisher,volume,number,pages,journal,copyright,editor,booktitle,institution,language,day,issn,article-number
Gonneea_et_al_2004,Gonneea_et_al_2004_article,synthesis source,Article,Tracing organic matter sources and carbon burial in mangrove sediments over the past 160 years,Meagan Eagle Gonneea and Adina Paytan and Jorge A. Herrera-Silveira,NA,10.1016/j.ecss.2004.04.015,https://doi.org/10.1016/j.ecss.2004.04.015,2004,oct,Elsevier {BV},61,2,211--227,"Estuarine, Coastal and Shelf Science",NA,NA,NA,NA,NA,NA,NA,NA
Gonneea_et_al_2004,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gonneea_et_al_2004,Gonneea_et_al_2004_article,synthesis source,Article,Tracing organic matter sources and carbon burial in mangrove sediments over the past 160 years,Meagan Eagle Gonneea and Adina Paytan and Jorge A. Herrera-Silveira,NA,10.1016/j.ecss.2004.04.015,https://doi.org/10.1016/j.ecss.2004.04.015,2004,oct,Elsevier {BV},61,2,211--227,"Estuarine, Coastal and Shelf Science",NA,NA,NA,NA,NA,NA,NA,NA
Gonneea_et_al_2004,Fourqurean_et_al_2012_article,synthesis source,Article,Seagrass ecosystems as a globally significant carbon stock,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA,NA,NA
He_et_al_2002,He_et_al_2002_article,synthesis source,Article,Studies on soil physical and chemical properties and enzyme activities of different mangrove communities in Yingluo Bay of Guangxi,"He, Bin and Wen, Yuanguang and Yuan, Xia and Liang, Hongwen and Liu, Shirong",NA,NA,NA,2002,NA,NA,38,2,NA,Scientia Silvae Sinicae,NA,NA,NA,NA,NA,NA,NA,NA
He_et_al_2002,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jones_et_al_2016,Jones_et_al_2016_article,synthesis source,InCollection,"The Mangroves of Ambanja and Ambaro Bays, Northwest Madagascar: Historical Dynamics, Current Status and Deforestation Mitigation Strategy",Trevor Gareth Jones and Harifidy Rakoto Ratsimba and Aude Carro and Lalao Ravaoarinorotsihoarana and Leah Glass and Marianne Teoh and Lisa Benson and Garth Cripps and Chandra Giri and Bienvenue Zafindrasilivonona and Raymond Raherindray and Zo Andriamahenina and Mialy Andriamahefazafy,NA,10.1007/978-3-319-25370-1_5,https://doi.org/10.1007/978-3-319-25370-1_5,2016,NA,Springer International Publishing,NA,NA,67--85,NA,NA,NA,Estuaries of the World,NA,NA,NA,NA,NA
Jones_et_al_2016,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kauffman_et_al_2016,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kauffmann_et_al_2011,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kauffmann_et_al_2014,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kelleway_et_al_2016,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lallier-Verges_et_al_1998,Lallier-Verges_et_al_1998_article,synthesis source,Article,"Relationships between environmental conditions and the diagenetic evolution of organic matter derived from higher plants in a modern mangrove swamp system (Guadeloupe, French West Indies)",Elisabeth Lallier-Verges and Benoit P Perrussel and Jean-Robert Disnar and Frederic Baltzer,NA,10.1016/s0146-6380(98)00179-x,https://doi.org/10.1016/s0146-6380(98)00179-x,1998,nov,Elsevier {BV},29,NA,1663--1686,Organic Geochemistry,NA,NA,NA,NA,NA,NA,NA,NA
Lallier-Verges_et_al_1998,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lang'at_et_al_2014,Lang'at_et_al_2014_article,synthesis source,Article,Rapid Losses of Surface Elevation following Tree Girdling and Cutting in Tropical Mangroves,Joseph Kipkorir Sigi Lang\textquotesingleat and James G. Kairo and Maurizio Mencuccini and Steven Bouillon and Martin W. Skov and Susan Waldron and Mark Huxham,NA,10.1371/journal.pone.0107868,https://doi.org/10.1371/journal.pone.0107868,2014,sep,Public Library of Science ({PLoS}),9,9,e107868,{PLoS} {ONE},NA,Vanesa Magar,NA,NA,NA,NA,NA,NA
Lang'at_et_al_2014,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liu_2005,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Livesley_and_Andrusiak_2012,Livesley_and_Andrusiak_2012_article,synthesis source,Article,Temperate mangrove and salt marsh sediments are a small methane and nitrous oxide source but important carbon store,Stephen J. Livesley and Sascha M. Andrusiak,NA,10.1016/j.ecss.2011.11.002,https://doi.org/10.1016/j.ecss.2011.11.002,2012,jan,Elsevier {BV},97,NA,19--27,"Estuarine, Coastal and Shelf Science",NA,NA,NA,NA,NA,NA,NA,NA
Livesley_and_Andrusiak_2012,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loi_and_Ni_2015,Loi_and_Ni_2015_article,synthesis source,Article,"The effects of land surface elevation on belowground carbon accumulation of mangrove ecosystem at the Ong Trang sand bar, Ngoc Hien district, Ca Mau province","Loi, Tan and Ni, Hang",NA,NA,NA,2015,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA
Loi_and_Ni_2015,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lunstrem_and_Chen_2014,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MacKenzie_et_al_2016,MacKenzie_et_al_2016_article,synthesis source,Article,Sedimentation and belowground carbon accumulation rates in mangrove forests that differ in diversity and land use: a tale of two mangroves,Richard A. MacKenzie and Patra B. Foulk and J. Val Klump and Kimberly Weckerly and Joko Purbospito and Daniel Murdiyarso and Daniel C. Donato and Vien Ngoc Nam,NA,10.1007/s11273-016-9481-3,https://doi.org/10.1007/s11273-016-9481-3,2016,feb,Springer Science and Business Media {LLC},24,2,245--261,Wetlands Ecology and Management,NA,NA,NA,NA,NA,NA,NA,NA
MacKenzie_et_al_2016,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mao_et_al_2011,Mao_et_al_2011_article,synthesis source,Article,Effect of invasion plants (Mikania micrantha HBK) on carbon stock of mangrove ecosystem in Shenzhen bay,"Mao, ZL and Lai, HD and Zhao, ZY and Yang, XM",NA,NA,NA,2011,NA,NA,20,12,NA,Ecol Env,NA,NA,NA,NA,NA,NA,NA,NA
Mao_et_al_2011,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mao_et_al_2012,Mao_et_al_2012_article,synthesis source,Article,"Preliminary study on mangrove ecosystem carbon cycle of Kandelia candel in Futian nature reserve, Shenzhen, China. Ecol","Mao, ZL and Yang, XM and Zhao, ZY and Lai, MD and Yang, DY and Wu, CL and Xu, HL},",NA,NA,NA,2012,NA,NA,21,NA,NA,Environ. Sci,NA,NA,NA,NA,NA,NA,NA,NA
Mao_et_al_2012,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marchand_et_al_2004,Marchand_et_al_2004_article,synthesis source,Article,Pore-water chemistry in mangrove sediments: relationship with species composition and developmental stages (French Guiana),C Marchand and F Baltzer and E Lallier-VergÃ¨s and P AlbÃ©ric,NA,10.1016/j.margeo.2004.04.015,https://doi.org/10.1016/j.margeo.2004.04.015,2004,aug,Elsevier {BV},208,NA,361--381,Marine Geology,NA,NA,NA,NA,NA,NA,NA,NA
Marchand_et_al_2004,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marchand_et_al_2004,_Marchand_et_al_2003",Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marchio_et_al_2016,Marchio_et_al_2016_article,synthesis source,Article,Carbon Sequestration and Sedimentation in Mangrove Swamps Influenced by Hydrogeomorphic Conditions and Urbanization in Southwest Florida,Daniel Marchio and Michael Savarese and Brian Bovard and William Mitsch,NA,10.3390/f7060116,https://doi.org/10.3390/f7060116,2016,may,{MDPI} {AG},7,12,116,Forests,NA,NA,NA,NA,NA,NA,NA,NA
Marchio_et_al_2016,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middelburg_et_al_1996,Middelburg_et_al_1996_article,synthesis source,Article,"Sediment biogeochemistry in an East African mangrove forest (Gazi bay, Kenya)","Middelburg, Jack J and Nieuwenhuize, Joop and Slim, Frederik J and Ohowa, Boaz",NA,NA,NA,1996,NA,NA,34,3,NA,Biogeochemistry,NA,NA,NA,NA,NA,NA,NA,NA
Middelburg_et_al_1996,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Murdiyarso_et_al_2015,Murdiyarso_et_al_2015_article,synthesis source,Article,The potential of Indonesian mangrove forests for global climate change mitigation,Daniel Murdiyarso and Joko Purbopuspito and J. Boone Kauffman and Matthew W. Warren and Sigit D. Sasmito and Daniel C. Donato and Solichin Manuri and Haruni Krisnawati and Sartji Taberima and Sofyan Kurnianto,NA,10.1038/nclimate2734,https://doi.org/10.1038/nclimate2734,2015,jul,Springer Science and Business Media {LLC},5,12,1089--1092,Nature Climate Change,NA,NA,NA,NA,NA,NA,NA,NA
Murdiyarso_et_al_2015,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX_edaf_puntos,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX_perfilv12,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Naidoo_1980,Naidoo_1980_article,synthesis source,Article,"Mangrove soils of the Beachwood area, Durban","Naidoo, G",NA,NA,NA,1980,NA,NA,NA,NA,NA,Journal of South African Botany,NA,NA,NA,NA,NA,NA,NA,NA
Naidoo_1980,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Naidoo_and_Raiman_1982,Naidoo_and_Raiman_1982_article,synthesis source,Article,"Some physical and chemical properties of mangrove soils at Sipingo and Mgeni, Natal","Naidoo, G and Raiman, F",NA,NA,NA,1982,NA,NA,NA,NA,NA,South African Journal of Botany,NA,NA,NA,NA,NA,NA,NA,NA
Naidoo_and_Raiman_1982,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCSS,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nsombo_et_al_2016,Nsombo_et_al_2016_article,synthesis source,Article,"Effects of vegetations degradation on carbon stock, morphological, physical and chemical characteristics of soils within the mangrove forest of the Rio del Rey Estuary: Case study Bamusso (South-West Cameroon)",NSOMBO Eugene NDEMA and BENGONO Fr {eacute d eacute ric AKO} and Jacques ETAME and DIN NDONGO and Gordon AJONINA and BILONG Paul,NA,10.5897/ajest2015.1956,https://doi.org/10.5897/ajest2015.1956,2016,mar,Academic Journals,10,3,58--66,African Journal of Environmental Science and Technology,NA,NA,NA,NA,NA,NA,NA,NA
Nsombo_et_al_2016,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Okeefe-Suttles_et_al_2021_FL,Okeefe-Suttles_et_al_2021_FL_data,primary dataset,Misc,"Collection, analysis, and age-dating of sediment cores from mangrove and salt marsh ecosystems in Tampa Bay, Florida, 2015",Jennifer A {O'keefe Suttles} and Meagan J Eagle and Adrian C Mann and Kevin D Kroeger,NA,10.5066/P9QB17H2,https://www.sciencebase.gov/catalog/item/60bfb8a4d34e86b938916d6f,2021,NA,U.S. Geological Survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Osland_et_al_2012,Osland_et_al_2012_article,synthesis source,Article,Ecosystem Development After Mangrove Wetland Creation: Plant{\textendash}Soil Change Across a 20-Year Chronosequence,Michael J. Osland and Amanda C. Spivak and Janet A. Nestlerode and Jeannine M. Lessmann and Alejandro E. Almario and Paul T. Heitmuller and Marc J. Russell and Ken W. Krauss and Federico Alvarez and Darrin D. Dantin and James E. Harvey and Andrew S. From and Nicole Cormier and Camille L. Stagg,NA,10.1007/s10021-012-9551-1,https://doi.org/10.1007/s10021-012-9551-1,2012,may,Springer Science and Business Media {LLC},15,5,848--866,Ecosystems,NA,NA,NA,NA,NA,NA,NA,NA
Osland_et_al_2012,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Otero_et_al_2009,Otero_et_al_2009_article,synthesis source,Article,"Geochemistry of iron and manganese in soils and sediments of a mangrove system, Island of Pai Matos (Cananeia {\textemdash} {SP}, Brazil)",X.L. Otero and T.O. Ferreira and M.A. Huerta-D\'\iaz and C.S.M. Partiti and V. Souza and P. Vidal-Torrado and F. Mac\'\ias,NA,10.1016/j.geoderma.2008.10.016,https://doi.org/10.1016/j.geoderma.2008.10.016,2009,jan,Elsevier {BV},148,NA,318--335,Geoderma,NA,NA,NA,NA,NA,NA,NA,NA
Otero_et_al_2009,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pazi_et_al_2016,Pazi_et_al_2016_article,synthesis source,Article,"Soil pH and carbon at different depth in three zones of mangrove forest in Sarawak, Malaysia","PAZI, AHMAD MUSTAPHA MOHAMAD and GANDASECA, SECA and ROSLI, NORAINI and HANAFI, AHMAD and HAMZAH, ALBERT EMPAWI TINDIT and NYANGON, LAURNA",NA,NA,NA,2016,NA,NA,79,1,NA,The Malaysian Forester,NA,NA,NA,NA,NA,NA,NA,NA
Pazi_et_al_2016,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phang_et_al_2016,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Radabaugh_et_al_2018,Holmquist_et_al_2018_synthesis,synthesis dataset,Misc,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,NA,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,2018,NA,Smithsonian Research Online,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Radabaugh_et_al_2018,Radabaugh_et_al_2018_article,synthesis source,Article,"Coastal Blue Carbon Assessment of Mangroves, Salt Marshes, and Salt Barrens in Tampa Bay, Florida, {USA}",Kara R. Radabaugh and Ryan P. Moyer and Amanda R. Chappel and Christina E. Powell and Ioana Bociu and Barbara C. Clark and Joseph M. Smoak,NA,10.1007/s12237-017-0362-7,https://doi.org/10.1007/s12237-017-0362-7,2017,dec,Springer Science and Business Media {LLC},41,5,1496--1510,Estuaries and Coasts,NA,NA,NA,NA,NA,NA,NA,NA
RadamBrasil,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ranjan_2010,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S._Gress_Unpublished,_Gress_et_al_2016",Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saintilan_et_al_2013,Saintilan_et_al_2013_article,synthesis source,Article,Allochthonous and autochthonous contributions to carbon accumulation and carbon store in southeastern Australian coastal wetlands,N. Saintilan and K. Rogers and D. Mazumder and C. Woodroffe,NA,10.1016/j.ecss.2013.05.010,https://doi.org/10.1016/j.ecss.2013.05.010,2013,aug,Elsevier {BV},128,NA,84--92,"Estuarine, Coastal and Shelf Science",NA,NA,NA,NA,NA,NA,NA,NA
Saintilan_et_al_2013,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sanders_et_al_2008,Sanders_et_al_2008_article,synthesis source,Article,"Recent Sediment Accumulation in a Mangrove Forest and Its Relevance to Local Sea-Level Rise (Ilha Grande, Brazil)",Christian J. Sanders and Joseph M. Smoak and A. Sathy Naidu and Sambasiva R. Patchineelam,NA,10.2112/07-0872.1,https://doi.org/10.2112/07-0872.1,2008,mar,Coastal Education and Research Foundation,242,NA,533--536,Journal of Coastal Research,NA,NA,NA,NA,NA,NA,NA,NA
Sanders_et_al_2008,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sanders_et_al_2010_ECSS,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sanders_et_al_2010_EES,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sanders_et_al_2012_MER,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
