i,study_id,site_id,core_id,variables_present
340,Okeefe-Suttles_et_al_2021_Cape,Bass,MA_BCNA,"Cs137, Pb210"
341,Okeefe-Suttles_et_al_2021_Cape,Bass,MA_BCNB,"Cs137, Pb210"
342,Okeefe-Suttles_et_al_2021_Cape,Bass,MA_BCRA,"Cs137, Pb210"
343,Okeefe-Suttles_et_al_2021_Cape,Bass,MA_BCRB,"Cs137, Pb210"
344,Okeefe-Suttles_et_al_2021_Cape,Boat,MA_BMNA,"Cs137, Pb210"
345,Okeefe-Suttles_et_al_2021_Cape,Boat,MA_BMNB,"Cs137, Pb210"
346,Okeefe-Suttles_et_al_2021_Cape,Boat,MA_BMRA,"Cs137, Pb210"
347,Okeefe-Suttles_et_al_2021_Cape,Boat,MA_BMRB,"Cs137, Pb210"
348,Okeefe-Suttles_et_al_2021_Cape,Quivett,MA_QCNA,"Cs137, Pb210"
349,Okeefe-Suttles_et_al_2021_Cape,Quivett,MA_QCNB,"Cs137, Pb210"
350,Okeefe-Suttles_et_al_2021_Cape,Quivett,MA_QCRA,"Cs137, Pb210"
351,Okeefe-Suttles_et_al_2021_Cape,Scusset,MA_MCA,"Cs137, Pb210"
352,Okeefe-Suttles_et_al_2021_Cape,Scusset,MA_MCB,"Cs137, Pb210"
353,Okeefe-Suttles_et_al_2021_Cape,Scusset,MA_SMB,"Cs137, Pb210"
354,Okeefe-Suttles_et_al_2021_Cape,Stony,MA_SBNA,"Cs137, Pb210"
355,Okeefe-Suttles_et_al_2021_Cape,Stony,MA_SBNB,"Cs137, Pb210"
356,Okeefe-Suttles_et_al_2021_Cape,Stony,MA_SBRA,"Cs137, Pb210"
357,Okeefe-Suttles_et_al_2021_Cape,Stony,MA_SBRB,"Cs137, Pb210"
358,Okeefe-Suttles_et_al_2021_FL,E.G. Simmons,FL_EGSA,"Cs137, Pb210"
359,Okeefe-Suttles_et_al_2021_FL,E.G. Simmons,FL_EGSB,"Cs137, Pb210"
360,Okeefe-Suttles_et_al_2021_FL,Fort de Soto,FL_FDS,"Cs137, Pb210"
361,Okeefe-Suttles_et_al_2021_FL,Holly House,FL_HHMA,"Cs137, Pb210"
362,Okeefe-Suttles_et_al_2021_FL,Holly House,FL_HHMB,"Cs137, Pb210"
363,Okeefe-Suttles_et_al_2021_FL,Rocky Creek,FL_RCRA,"Cs137, Pb210"
364,Okeefe-Suttles_et_al_2021_FL,Rocky Creek,FL_RCRB,"Cs137, Pb210"
365,Okeefe-Suttles_et_al_2021_FL,Upper Tampa Bay,FL_UTR,"Cs137, Pb210"
366,Okeefe-Suttles_et_al_2021_FL,Weedon Island,FL_WI,"Cs137, Pb210"
367,Okeefe-Suttles_et_al_2021_RI,Narragansett Bay,RI_MCA,"Cs137, Pb210"
368,Okeefe-Suttles_et_al_2021_RI,Narragansett Bay,RI_MCB,"Cs137, Pb210"
369,Okeefe-Suttles_et_al_2021_RI,Narragansett Bay,RI_MDA,"Cs137, Pb210"
370,Okeefe-Suttles_et_al_2021_RI,Narragansett Bay,RI_MDB,"Cs137, Pb210"
371,Okeefe-Suttles_et_al_2021_RI,Narragansett Bay,RI_PIA,"Cs137, Pb210"
372,Okeefe-Suttles_et_al_2021_RI,Narragansett Bay,RI_PIB,"Cs137, Pb210"
373,Okeefe-Suttles_et_al_2021_Wellfleet,Herring River,MA_HRCHA,"Cs137, Pb210"
374,Okeefe-Suttles_et_al_2021_Wellfleet,Herring River,MA_HRCHB,"Cs137, Pb210"
375,Okeefe-Suttles_et_al_2021_Wellfleet,Herring River,MA_HROCA,"Cs137, Pb210"
376,Okeefe-Suttles_et_al_2021_Wellfleet,Herring River,MA_HROCB,"Cs137, Pb210"
377,Okeefe-Suttles_et_al_2021_Wellfleet,Herring River,MA_HRPA,"Cs137, Pb210"
378,Okeefe-Suttles_et_al_2021_Wellfleet,Herring River,MA_HRPB,"Cs137, Pb210"
379,Okeefe-Suttles_et_al_2021_Wellfleet,Mayo Creek,MA_MYNA,"Cs137, Pb210"
380,Okeefe-Suttles_et_al_2021_Wellfleet,Mayo Creek,MA_MYNB,"Cs137, Pb210"
381,Okeefe-Suttles_et_al_2021_Wellfleet,Mayo Creek,MA_MYURA,"Cs137, Pb210"
382,Okeefe-Suttles_et_al_2021_Wellfleet,Mayo Creek,MA_MYURB,"Cs137, Pb210"
383,Peck_et_al_2020,Alsea,ABOR1702_01PU,"Cs137, Pb210"
384,Peck_et_al_2020,Alsea,ABOR1702_02PU,"Cs137, Pb210"
385,Peck_et_al_2020,Alsea,ABOR1702_05PU,"Cs137, Pb210"
386,Peck_et_al_2020,Alsea,ABOR1702_06PU,"Cs137, Pb210"
387,Peck_et_al_2020,Alsea,ABOR1702_07PU,"Cs137, Pb210"
388,Peck_et_al_2020,Alsea,ABOR1702_08PU,"Cs137, Pb210"
389,Peck_et_al_2020,Coquille,CMOR1706_01PU,"Cs137, Pb210"
390,Peck_et_al_2020,Coquille,CMOR1706_02PU,"Cs137, Pb210"
391,Peck_et_al_2020,Coquille,CMOR1706_03PU,"Cs137, Pb210"
392,Peck_et_al_2020,Coquille,CMOR1706_04PU,"Cs137, Pb210"
393,Peck_et_al_2020,Coquille,CMOR1706_05PU,"Cs137, Pb210"
394,Peck_et_al_2020,Coquille,CMOR1706_08PU,"Cs137, Pb210"
395,Peck_et_al_2020,Coquille,CMOR1706_09PU,"Cs137, Pb210"
396,Peck_et_al_2020,Coquille,CMOR1706_10PU,"Cs137, Pb210"
397,Peck_et_al_2020,Nehalem,NBOR1606_03PU,"Cs137, Pb210"
398,Peck_et_al_2020,Nehalem,NBOR1606_04PU,"Cs137, Pb210"
399,Peck_et_al_2020,Nehalem,NBOR1606_05PU,"Cs137, Pb210"
400,Peck_et_al_2020,Nehalem,NBOR1606_07PU,"Cs137, Pb210"
401,Peck_et_al_2020,Nehalem,NBOR1606_08PU,"Cs137, Pb210"
402,Peck_et_al_2020,Nehalem,NBOR1609_01PU,"Cs137, Pb210"
403,Peck_et_al_2020,Netarts,NTOR1709_01PU,"Cs137, Pb210"
404,Peck_et_al_2020,Netarts,NTOR1709_02PU,"Cs137, Pb210"
405,Peck_et_al_2020,Netarts,NTOR1709_03PU,"Cs137, Pb210"
406,Peck_et_al_2020,Netarts,NTOR1709_04PU,"Cs137, Pb210"
407,Peck_et_al_2020,Netarts,NTOR1802_01PU,"Cs137, Pb210"
408,Peck_et_al_2020,Netarts,NTOR1802_02PU,"Cs137, Pb210"
409,Peck_et_al_2020,Netarts,NTOR1802_05PU,"Cs137, Pb210"
410,Peck_et_al_2020,Netarts,NTOR1802_06PU,"Cs137, Pb210"
411,Peck_et_al_2020,Netarts,NTOR1802_09PU,"Cs137, Pb210"
412,Peck_et_al_2020,Salmon River,SROR1509_01PU,"Cs137, Pb210"
413,Peck_et_al_2020,Salmon River,SROR1509_02PU,"Cs137, Pb210"
414,Peck_et_al_2020,Salmon River,SROR1509_03PU,"Cs137, Pb210"
415,Peck_et_al_2020,Salmon River,SROR1509_04PU,"Cs137, Pb210"
416,Peck_et_al_2020,Tillamook,TBOR1504_01PU,"Cs137, Pb210"
417,Peck_et_al_2020,Tillamook,TBOR1504_02PU,"Cs137, Pb210"
418,Peck_et_al_2020,Tillamook,TBOR1504_03PU,"Cs137, Pb210"
419,Peck_et_al_2020,Tillamook,TBOR1504_04PU,"Cs137, Pb210"
420,Peck_et_al_2020,Tillamook,TBOR1504_05PU,"Cs137, Pb210"
421,Peck_et_al_2020,Youngs Bay,YBOR1502_01PU,"Cs137, Pb210"
422,Peck_et_al_2020,Youngs Bay,YBOR1502_03PU,"Cs137, Pb210"
423,Piazza_et_al_2020,CRMS0128,0128_1,Cs137
424,Piazza_et_al_2020,CRMS0128,0128_2,Cs137
425,Piazza_et_al_2020,CRMS0128_H,0128_H_1,Cs137
426,Piazza_et_al_2020,CRMS0128_H,0128_H_2,Cs137
427,Piazza_et_al_2020,CRMS0135,0135_1,Cs137
428,Piazza_et_al_2020,CRMS0135,0135_2,Cs137
429,Piazza_et_al_2020,CRMS0135_H,0135_H_1,Cs137
430,Piazza_et_al_2020,CRMS0135_H,0135_H_2,Cs137
431,Piazza_et_al_2020,CRMS0147,0147_1,Cs137
432,Piazza_et_al_2020,CRMS0147,0147_2,Cs137
433,Piazza_et_al_2020,CRMS0147_H,0147_H_1,Cs137
434,Piazza_et_al_2020,CRMS0147_H,0147_H_2,Cs137
435,Piazza_et_al_2020,CRMS0164,0164_1,Cs137
436,Piazza_et_al_2020,CRMS0164,0164_2,Cs137
437,Piazza_et_al_2020,CRMS0164_H,0164_H_1,Cs137
438,Piazza_et_al_2020,CRMS0164_H,0164_H_2,Cs137
439,Piazza_et_al_2020,CRMS0219,0219_1,Cs137
440,Piazza_et_al_2020,CRMS0219,0219_2,Cs137
441,Piazza_et_al_2020,CRMS0219_H,0219_H_1,Cs137
442,Piazza_et_al_2020,CRMS0219_H,0219_H_2,Cs137
443,Piazza_et_al_2020,CRMS0268,0268_1,Cs137
444,Piazza_et_al_2020,CRMS0268,0268_2,Cs137
445,Piazza_et_al_2020,CRMS0268_H,0268_H_1,Cs137
446,Piazza_et_al_2020,CRMS0268_H,0268_H_2,Cs137
447,Piazza_et_al_2020,CRMS0294,0294_1,Cs137
448,Piazza_et_al_2020,CRMS0294,0294_2,Cs137
449,Piazza_et_al_2020,CRMS0294_H,0294_H_1,Cs137
450,Piazza_et_al_2020,CRMS0294_H,0294_H_2,Cs137
451,Piazza_et_al_2020,CRMS0312,0312_1,Cs137
452,Piazza_et_al_2020,CRMS0312,0312_2,Cs137
453,Piazza_et_al_2020,CRMS0312_H,0312_H_1,Cs137
454,Piazza_et_al_2020,CRMS0312_H,0312_H_2,Cs137
455,Piazza_et_al_2020,CRMS0326,0326_1,Cs137
456,Piazza_et_al_2020,CRMS0326,0326_2,Cs137
457,Piazza_et_al_2020,CRMS0326_H,0326_H_1,Cs137
458,Piazza_et_al_2020,CRMS0326_H,0326_H_2,Cs137
459,Piazza_et_al_2020,CRMS0605,0605_1,Cs137
460,Piazza_et_al_2020,CRMS0605,0605_2,Cs137
461,Piazza_et_al_2020,CRMS0605_H,0605_H_1,Cs137
462,Piazza_et_al_2020,CRMS0605_H,0605_H_2,Cs137
463,Piazza_et_al_2020,CRMS0610,0610_1,Cs137
464,Piazza_et_al_2020,CRMS0610,0610_2,Cs137
465,Piazza_et_al_2020,CRMS0610_H,0610_H_1,Cs137
466,Piazza_et_al_2020,CRMS0610_H,0610_H_2,Cs137
467,Piazza_et_al_2020,CRMS0651,0651_1,Cs137
468,Piazza_et_al_2020,CRMS0651,0651_2,Cs137
469,Piazza_et_al_2020,CRMS0651_H,0651_H_1,Cs137
470,Piazza_et_al_2020,CRMS0651_H,0651_H_2,Cs137
471,Piazza_et_al_2020,CRMS0669,0669_1,Cs137
472,Piazza_et_al_2020,CRMS0669,0669_2,Cs137
473,Piazza_et_al_2020,CRMS0672,0672_1,Cs137
474,Piazza_et_al_2020,CRMS0672,0672_2,Cs137
475,Piazza_et_al_2020,CRMS0672_H,0672_H_1,Cs137
476,Piazza_et_al_2020,CRMS0672_H,0672_H_2,Cs137
477,Piazza_et_al_2020,CRMS1277,1277_1,Cs137
478,Piazza_et_al_2020,CRMS1277,1277_2,Cs137
479,Piazza_et_al_2020,CRMS1277_H,1277_H_1,Cs137
480,Piazza_et_al_2020,CRMS1277_H,1277_H_2,Cs137
481,Piazza_et_al_2020,CRMS2156,2156_1,Cs137
482,Piazza_et_al_2020,CRMS2156,2156_2,Cs137
483,Poppe_and_Rybczyk_2018,Padilla_1,1_2J,Pb210
484,Poppe_and_Rybczyk_2018,Padilla_2,2_3F,Pb210
485,Poppe_and_Rybczyk_2018,Padilla_3,3_4F,Pb210
486,Poppe_and_Rybczyk_2018,Padilla_4,4_5B,Pb210
487,Poppe_and_Rybczyk_2018,Padilla_5,5_5F,Pb210
488,Poppe_and_Rybczyk_2018,Padilla_6,6_5J,Pb210
489,Poppe_and_Rybczyk_2019,Stillaguamish_HM1,HM1_7,"Cs137, Pb210"
490,Poppe_and_Rybczyk_2019,Stillaguamish_HM1,HM1_8,"Cs137, Pb210"
491,Poppe_and_Rybczyk_2019,Stillaguamish_HM3,HM3_20,"Cs137, Pb210"
492,Poppe_and_Rybczyk_2019,Stillaguamish_HM4,HM4_21,"Cs137, Pb210"
493,Poppe_and_Rybczyk_2019,Stillaguamish_HM5,HM5_2,"Cs137, Pb210"
494,Poppe_and_Rybczyk_2019,Stillaguamish_LM1,LM1_10,"Cs137, Pb210"
495,Poppe_and_Rybczyk_2019,Stillaguamish_LM1,LM1_9,"Cs137, Pb210"
496,Poppe_and_Rybczyk_2019,Stillaguamish_LM3,LM3_13,"Cs137, Pb210"
497,Poppe_and_Rybczyk_2019,Stillaguamish_LM4,LM4_23,"Cs137, Pb210"
498,Poppe_and_Rybczyk_2019,Stillaguamish_LM5,LM5_3,"Cs137, Pb210"
499,Poppe_and_Rybczyk_2019,Stillaguamish_R1,25A,"Cs137, Pb210"
500,Poppe_and_Rybczyk_2019,Stillaguamish_R2,26A,"Cs137, Pb210"
501,Poppe_and_Rybczyk_2019,Stillaguamish_R3,27A,"Cs137, Pb210"
502,Poppe_and_Rybczyk_2019,Stillaguamish_R4,28A,"Cs137, Pb210"
503,Poppe_et_al_2019,Snohomish_Heron_Point,HP_A,"Cs137, Pb210"
504,Poppe_et_al_2019,Snohomish_Marysville_Mitigation,MA_A,"Cs137, Pb210"
505,Poppe_et_al_2019,Snohomish_North_Ebey,NE_A,"Cs137, Pb210"
506,Poppe_et_al_2019,Snohomish_Otter_Island,OI_A,"Cs137, Pb210"
507,Poppe_et_al_2019,Snohomish_Quilceda_Marsh,QM_A,"Cs137, Pb210"
508,Poppe_et_al_2019,Snohomish_Qwuloolt,QW_B,"Cs137, Pb210"
509,Poppe_et_al_2019,Snohomish_Smith_Island_City,SS_B,"Cs137, Pb210"
510,Poppe_et_al_2019,Snohomish_Smith_Island_County,SN_B,"Cs137, Pb210"
511,Poppe_et_al_2019,Snohomish_Spencer_Island,SP_A,"Cs137, Pb210"
512,Poppe_et_al_2019,Snohomish_WDFW_Forest,WF_A,"Cs137, Pb210"
513,Poppe_et_al_2019,Snohomish_WDFW_Wetland,WW_B,"Cs137, Pb210"
514,Rodriguez_et_al_2022,JB,JB_1,C14
515,Rodriguez_et_al_2022,JB,JB_5,C14
516,Rodriguez_et_al_2022,JB,JB_6,C14
517,Rodriguez_et_al_2022,JB,JB_7,C14
518,Rodriguez_et_al_2022,LB,LB_3,C14
519,Rodriguez_et_al_2022,LB,LB_5,C14
520,Rodriguez_et_al_2022,LB,LB_6,C14
521,Rodriguez_et_al_2022,LB,LB_7,C14
522,Rodriguez_et_al_2022,LB,LB_8,C14
523,Rodriguez_et_al_2022,NPR_U,NPR_U_1,C14
524,Rodriguez_et_al_2022,NPR_U,NPR_U_5,C14
525,Rodriguez_et_al_2022,SRE_U,SRE_U_1,C14
526,Rodriguez_et_al_2022,SRE_U,SRE_U_6,C14
527,Smith_et_al_2015,09WCC01,09WCC01_01,"Cs137, Pb210"
528,Smith_et_al_2015,09WCC01,09WCC01_02,"Cs137, Pb210"
529,Smith_et_al_2015,09WCC01,09WCC01_03,"Cs137, Pb210"
530,Smith_et_al_2015,09WCC01,09WCC01_04,"Cs137, Pb210"
531,Smith_et_al_2015,09WCC01,09WCC01_05,"Cs137, Pb210"
532,Smith_et_al_2015,09WCC01,09WCC01_06,"Cs137, Pb210"
533,Smith_et_al_2015,09WCC01,09WCC01_07,"Cs137, Pb210"
534,Smith_et_al_2015,09WCC01,09WCC01_08,"Cs137, Pb210"
535,Smith_et_al_2015,09WCC01,09WCC01_09,"Cs137, Pb210"
536,Snedden_2018,171,171_1,"Cs137, Pb210"
537,Snedden_2018,172,172_1,"Cs137, Pb210"
538,Snedden_2018,173,173_1,"Cs137, Pb210"
539,Snedden_2018,175,175_1,"Cs137, Pb210"
540,Snedden_2018,189,189_1,"Cs137, Pb210"
541,Snedden_2018,192,192_1,"Cs137, Pb210"
542,Snedden_2018,209,209_1,"Cs137, Pb210"
543,Snedden_2018,211,211_1,"Cs137, Pb210"
544,Snedden_2018,224,224_1,"Cs137, Pb210"
545,Snedden_2018,225,225_1,"Cs137, Pb210"
546,Snedden_2018,237,237_1,"Cs137, Pb210"
547,Snedden_2018,253,253_1,"Cs137, Pb210"
548,Snedden_2018,261,261_1,"Cs137, Pb210"
549,Snedden_2018,273,273_1,"Cs137, Pb210"
550,Snedden_2018,287,287_1,"Cs137, Pb210"
551,Snedden_2018,3054,3054_1,"Cs137, Pb210"
552,Snedden_2018,3166,3166_1,"Cs137, Pb210"
553,Snedden_2018,3169,3169_1,"Cs137, Pb210"
554,Snedden_2018,3565,3565_1,"Cs137, Pb210"
555,Snedden_2018,3617,3617_1,"Cs137, Pb210"
556,Snedden_2018,3985,3985_1,"Cs137, Pb210"
557,Snedden_2018,4218,4218_1,"Cs137, Pb210"
558,Snedden_2018,4245,4245_1,"Cs137, Pb210"
559,Snedden_2018,4529,4529_1,"Cs137, Pb210"
560,Snedden_2018,4690,4690_1,"Cs137, Pb210"
561,Snedden_2021,Breton_Sound_Basin,Breton_1,Cs137
562,Snedden_2021,Breton_Sound_Basin,Breton_10,Cs137
563,Snedden_2021,Breton_Sound_Basin,Breton_11,Cs137
564,Snedden_2021,Breton_Sound_Basin,Breton_12,Cs137
565,Snedden_2021,Breton_Sound_Basin,Breton_13,Cs137
566,Snedden_2021,Breton_Sound_Basin,Breton_14,Cs137
567,Snedden_2021,Breton_Sound_Basin,Breton_15,Cs137
568,Snedden_2021,Breton_Sound_Basin,Breton_16,Cs137
569,Snedden_2021,Breton_Sound_Basin,Breton_17,Cs137
570,Snedden_2021,Breton_Sound_Basin,Breton_18,Cs137
571,Snedden_2021,Breton_Sound_Basin,Breton_19,Cs137
572,Snedden_2021,Breton_Sound_Basin,Breton_2,Cs137
573,Snedden_2021,Breton_Sound_Basin,Breton_20,Cs137
574,Snedden_2021,Breton_Sound_Basin,Breton_21,Cs137
575,Snedden_2021,Breton_Sound_Basin,Breton_22,Cs137
576,Snedden_2021,Breton_Sound_Basin,Breton_23,Cs137
577,Snedden_2021,Breton_Sound_Basin,Breton_24,Cs137
578,Snedden_2021,Breton_Sound_Basin,Breton_25,Cs137
579,Snedden_2021,Breton_Sound_Basin,Breton_3,Cs137
580,Snedden_2021,Breton_Sound_Basin,Breton_4,Cs137
581,Snedden_2021,Breton_Sound_Basin,Breton_5,Cs137
582,Snedden_2021,Breton_Sound_Basin,Breton_6,Cs137
583,Snedden_2021,Breton_Sound_Basin,Breton_7,Cs137
584,Snedden_2021,Breton_Sound_Basin,Breton_8,Cs137
585,Snedden_2021,Breton_Sound_Basin,Breton_9,Cs137
586,Thom_1992,Elk_River_Not_Diked,ER1,Cs137
587,Thom_1992,Elk_River_Prev_Diked,ED1,Cs137
588,Thom_1992,Nisqually_River_Delta,ND1,Cs137
589,Thom_1992,Nisqually_River_Delta,ND2,Cs137
590,Thom_1992,Nisqually_River_Delta,ND3,Cs137
591,Thom_1992,Nisqually_River_Delta,ND4,Cs137
592,Thom_1992,Padilla_Bay,PB3,Cs137
593,Thom_1992,Salmon_River,SR1,Cs137
594,Thom_1992,Salmon_River,SR2,Cs137
595,Thom_1992,South_Slough,SS1,Cs137
596,Thom_1992,Washington_Harbor,WH1,Cs137
597,Vaughn_et_al_2020,St_Augustine,St_Augustine_Salt_Marsh,"Cs137, Pb210"
598,Vaughn_et_al_2020,Waccasassa_Bay,Waccasassa_Bay_Salt_Marsh,"Cs137, Pb210"
599,Wang_et_al_2023,Big_Egg,Big_Egg,"Cs137, Pb210"
600,Wang_et_al_2023,Black_Bank,Black_Bank,"Cs137, Pb210"
601,Wang_et_al_2023,Duck_Point,Duck_Point,"Cs137, Pb210"
602,Wang_et_al_2023,East_High,East_High,"Cs137, Pb210"
603,Wang_et_al_2023,Four_Sparrow,Four_Sparrow,"Cs137, Pb210"
604,Wang_et_al_2023,Fresh_Creek,Fresh_Creek,"Cs137, Pb210"
605,Wang_et_al_2023,JoCo,JoCo,"Cs137, Pb210"
606,Wang_et_al_2023,Little_Egg,Little_Egg,"Cs137, Pb210"
607,Wang_et_al_2023,Ruffle_Bar,Ruffle_Bar,"Cs137, Pb210"
608,Wang_et_al_2023,Spring_Creek,Spring_Creek,"Cs137, Pb210"
609,Wang_et_al_2023,Stony_Creek,Stony_Creek,"Cs137, Pb210"
610,Wang_et_al_2023,Yellow_Bar,Yellow_Bar,"Cs137, Pb210"
611,Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,C14
612,Watson_and_Byrne_2013,Bair_Island,Bair_Island_2,C14
613,Watson_and_Byrne_2013,Bair_Island,Bair_Island_3,C14
614,Watson_and_Byrne_2013,Bair_Island,Bair_Island_4,C14
615,Watson_and_Byrne_2013,Corkscrew_Slough,Corkscrew_Slough_1,C14
616,Watson_and_Byrne_2013,Coyote_Creek,Coyote_Creek_1,C14
617,Watson_and_Byrne_2013,Coyote_Creek,Coyote_Creek_4,C14
618,Watson_and_Byrne_2013,Damon_Slough,Damon_Slough_2,C14
619,Watson_and_Byrne_2013,Greco_Island,Greco_Island_1,C14
620,Watson_and_Byrne_2013,Mud_Slough,Mud_Slough_2,C14
621,Watson_and_Byrne_2013,Mud_Slough,Mud_Slough_3,C14
622,Watson_and_Byrne_2013,Plummer_Slough,Plummer_Slough_1,C14
623,Watson_and_Byrne_2013,Ravenswood_Slough,Ravenswood_Slough_2,C14
624,Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_low,Cs137
625,Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_mid_1,Cs137
626,Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_mid_2,Cs137
627,Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_low,Cs137
628,Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_mid_1,Cs137
629,Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_mid_2,Cs137
630,Weston_et_al_2023,Altamaha,ALT_3,"Cs137, Pb210"
631,Weston_et_al_2023,Altamaha,ALT_5,"Cs137, Pb210"
632,Weston_et_al_2023,Altamaha,ALT_6,"Cs137, Pb210"
633,Weston_et_al_2023,Altamaha,ALT_9,"Cs137, Pb210"
634,Weston_et_al_2023,Cape Fear,CPF_2,"Cs137, Pb210"
635,Weston_et_al_2023,Cape Fear,CPF_4,"Cs137, Pb210"
636,Weston_et_al_2023,Cape Fear,CPF_6,"Cs137, Pb210"
637,Weston_et_al_2023,Cape Fear,CPF_7,"Cs137, Pb210"
638,Weston_et_al_2023,Connecticut,CON_1,"Cs137, Pb210"
639,Weston_et_al_2023,Connecticut,CON_2,"Cs137, Pb210"
640,Weston_et_al_2023,Connecticut,CON_8,"Cs137, Pb210"
641,Weston_et_al_2023,Delaware,DEL_3,"Cs137, Pb210"
642,Weston_et_al_2023,Delaware,DEL_5,"Cs137, Pb210"
643,Weston_et_al_2023,Delaware,DEL_9,"Cs137, Pb210"
644,Weston_et_al_2023,Edisto,EDS_1,"Cs137, Pb210"
645,Weston_et_al_2023,Edisto,EDS_10,"Cs137, Pb210"
646,Weston_et_al_2023,Edisto,EDS_5,"Cs137, Pb210"
647,Weston_et_al_2023,Edisto,EDS_9,"Cs137, Pb210"
648,Weston_et_al_2023,James,JMS_2,"Cs137, Pb210"
649,Weston_et_al_2023,James,JMS_3,"Cs137, Pb210"
650,Weston_et_al_2023,James,JMS_4,"Cs137, Pb210"
651,Weston_et_al_2023,Kennebec,KEN_1,"Cs137, Pb210"
652,Weston_et_al_2023,Kennebec,KEN_7,"Cs137, Pb210"
653,Weston_et_al_2023,Kennebec,KEN_8,"Cs137, Pb210"
654,Weston_et_al_2023,Plum Island Sound,PIE_1,"Cs137, Pb210"
655,Weston_et_al_2023,Plum Island Sound,PIE_2,"Cs137, Pb210"
656,Weston_et_al_2023,Plum Island Sound,PIE_7,"Cs137, Pb210"
657,Weston_et_al_2023,Plum Island Sound,PIE_8,"Cs137, Pb210"
658,Weston_et_al_2023,York,YRK_2,"Cs137, Pb210"
659,Weston_et_al_2023,York,YRK_3,"Cs137, Pb210"
660,Weston_et_al_2023,York,YRK_5,"Cs137, Pb210"
